Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,2726.06,1678.02,5400.43,6794.44,9930.86,19214.38,33100.74,39014.53,47943.25,987.6073472,2248.09,3073.59,4999.75
Metal_A [ He ] ,Conc. [ ppb ],0,2.76,1.7,5.47,6.88,10.06,19.46,33.53,39.52,48.56,NA,NA,NA,NA
,Avg.intensity,2248.09,4974.15,3926.11,7648.52,9042.53,12178.95,21462.47,35348.83,41262.62,50191.34,NA,NA,NA,NA
,std,12.24,4.24,3.06,0.67,4.06,4.54,3.23,20.07,1.57,1.9,NA,NA,NA,NA
NA,y-y0,0,61219.58,162245.27,329100.44,474809.44,630745.25,1256717.37,1953422.34,2528138.5,3147129.87,64106.27972,2462.45,2954.45,4102.44
Metal_B [ He ] ,Conc. [ ppb ],0,0.97,2.56,5.19,7.49,9.95,19.83,30.82,39.89,49.65,NA,NA,NA,NA
,Avg.intensity,2462.45,63682.03,164707.72,331562.89,477271.89,633207.7,1259179.82,1955884.79,2530600.95,3149592.32,NA,NA,NA,NA
,std,6.66,0.94,0.64,0.91,0.42,0.9,3.66,0.91,1.27,0.93,NA,NA,NA,NA
NA,y-y0,0,16197.4,40803.16,85495.54,121493.24,162095.67,331157.52,508417.91,673540.25,835777.92,16461.94689,697.81,1016.85,1761.27
Metal_C [ He ] ,Conc. [ ppb ],0,0.97,2.43,5.1,7.25,9.67,19.75,30.33,40.18,49.86,NA,NA,NA,NA
,Avg.intensity,697.81,16895.21,41500.97,86193.35,122191.05,162793.48,331855.33,509115.72,674238.06,836475.73,NA,NA,NA,NA
,std,15.24,1.44,0.5,0.78,0.54,0.16,1.37,0.69,1.4,0.82,NA,NA,NA,NA
NA,y-y0,0,46527.64,107462.78,249726.94,321015.03,434206.11,886099.26,1353447.02,1722211.17,2174698.73,43708.02044,7674.07,8076.96,9017.03
Metal_D [ He ] ,Conc. [ ppb ],0,1.06,2.46,5.71,7.34,9.93,20.27,30.97,39.4,49.76,NA,NA,NA,NA
,Avg.intensity,7674.07,54201.71,115136.85,257401.01,328689.1,441880.18,893773.33,1361121.09,1729885.24,2182372.8,NA,NA,NA,NA
,std,1.75,1.47,0.45,1.32,0.84,1.62,1.25,0.24,0.8,0.88,NA,NA,NA,NA
NA,y-y0,0,10812.19,18272.88,48199.65,55287.09,77900.86,158380.87,238205.77,314353.55,391156.59,7862.023157,4939.7,5124.94,5557.16
Metal_E [ He ] ,Conc. [ ppb ],0,1.38,2.32,6.13,7.03,9.91,20.15,30.3,39.98,49.75,NA,NA,NA,NA
,Avg.intensity,4939.7,15751.89,23212.58,53139.35,60226.79,82840.56,163320.57,243145.47,319293.25,396096.29,NA,NA,NA,NA
,std,1.25,2.75,0.76,2.28,0.46,0.99,1.47,0.31,0.51,0.81,NA,NA,NA,NA
NA,y-y0,0,34904.41,115758.94,259640.94,388188.36,554709.5,1162607.05,1685769.05,2197839.76,2776890.6,51230.72497,381.13,571.28,1014.95
Metal_F [ He ] ,Conc. [ ppb ],0,0.63,2.08,4.67,6.98,9.98,20.91,30.33,39.54,49.95,NA,NA,NA,NA
,Avg.intensity,381.13,35285.54,116140.07,260022.07,388569.49,555090.63,1162988.18,1686150.18,2198220.89,2777271.73,NA,NA,NA,NA
