,Stomach (mg),Liver (mg) ,Muscle  (mg),Ink sac (mg) 
47-1,109.7,100.8,102.1,102.4
47-2,104.8,103.2,105,101.2
47-3,106.1,101.4,100.4,100.3
47-4,109.7,106.4,102.7,106.3
47-5,109.1,101.1,105.8,102.9
47-6,108.6,100.4,109.3,102.3
47-7,107,102.8,104.3,105.6
47-8,109.3,102.8,106.7,104.6
47-9,107,103.9,109.7,108.2
47-10,105.8,100.5,104.7,108.8
47-11,100.2,103.4,102.3,113.2
47-12,107.6,104.4,100.9,108.8
47-13,107.2,105.2,108.5,105.9
47-14,104.4,107.3,105,101.6
47-15,100,107.4,109.3,104.8
49-1,107.3,105,104.8,105.4
49-2,107.9,109,105.3,107.6
49-3,100.6,107.7,105.9,108.9
49-4,107,105.9,104.3,113.2
49-5,107.2,109.4,104.7,109.4
49-6,106.1,102.1,102.3,100.8
49-7,35.7,104.1,104.5,109.8
49-8,104.8,103.5,104.7,105.2
49-9,108.2,102.5,105.5,101
49-10,107.8,103.9,108.9,104.8
49-11,103.8,105.6,107.8,95.1
49-12,108.9,107.2,106.7,101.5
49-13,107,102.8,102.5,115.2
49-14,103.9,102,107.8,115.9
49-15,106.3,104.2,104.1,100.8
