Sample,,,,,,,Metal_A  [ He ] ,,,Metal_B  [ He ] ,,,Metal_C  [ He ] ,,,Metal_D  [ He ] ,,,Metal_E  [ He ] ,,,Metal_F [ He ] ,,,Metal_G  [ He ] ,,,Metal_H [ He ] ,,,Metal_I  [ He ] ,,,Metal_J  [ He ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD
,FALSE,0.d,2022/10/28 13:39,CalStd,1,0,0,1795.69,5.419800289,0,2327.986667,11.28932308,0,613.3633333,9.287047014,0,7518.456667,1.300033776,0,2844.743333,4.782675381,0,225.5633333,13.72990833,0,20,16.65,0,103.3366667,22.57945619,0,213.3433333,13.62235451,0,635.5866667,4.273081356
,FALSE,1.d,2022/10/28 13:42,CalStd,2,1,1.316204048,3015.54,7.724857449,1.548430168,97663.71333,2.987772936,1.545900183,25718.3,1.80785526,1.552461952,72641.76667,1.005852424,2.786693261,23781.21,6.211259552,0.78727071,41872.82,3.975559309,1.502869729,14141.79,1.218185872,0.552263684,5820.113333,2.168983388,1.6414918,97598.55,1.68907323,1.670662414,69296.16,0.82171919
,FALSE,2.5.d,2022/10/28 13:45,CalStd,3,2.5,2.986017784,4563.113333,8.679846192,2.543551965,158932.6433,1.179704922,2.529422978,41690.40333,1.639224378,2.739984284,122456.44,2.058734293,2.792312843,23823.43,1.682881892,1.687503779,89495.87667,3.201656892,2.580876416,24271.33333,0.710843245,1.786994933,18601.47667,3.9699221,2.705327537,160713.0067,0.741653814,2.808707693,116067.3333,0.322130681
,FALSE,5.d,2022/10/28 13:48,CalStd,4,5,3.973989952,5478.76,2.159154991,5.026908431,311831.1067,0.940148086,4.953336335,81054,0.903248842,5.047162411,219238.8933,1.77091015,4.910900106,39740.40667,1.482098359,4.038722121,213877.2267,2.590919934,4.938157283,46421.64,2.501186558,4.644001256,48175.87667,0.418881185,5.143845281,305383.5767,3.246743371,5.170807205,213144.46,2.235914869
,FALSE,10.d,2022/10/28 13:52,CalStd,5,7.5,12.37531404,13265.05667,40.3416279,7.791097818,482020.25,0.607252437,7.46364503,121820.63,0.929195461,7.613977,326912.6833,0.680978937,7.361087956,58148.70333,1.857918926,6.716982475,355559.3633,2.715199754,7.474028882,70250.08333,1.439918463,7.785298758,80693.12667,1.985081376,7.815072921,463860.1867,0.961815844,7.867259373,323962.75,1.021624994
,FALSE,15.d,2022/10/28 13:55,CalStd,6,10,9.853541823,10927.89333,5.363934217,10.40599153,643017.3667,1.756938227,10.00785175,163137.7533,1.774443426,10.36532508,442327.36,0.899490257,10.00812533,78035.93333,1.65540347,9.446285717,499941.71,1.250864994,10.09867207,94912.67333,1.498357392,10.1870502,105554.94,2.068981617,10.378195,615923.19,0.85796722,10.44011721,429701.5833,1.999052832
,FALSE,20.d,2022/10/28 13:58,CalStd,7,20,20.69084057,20971.83667,2.005776061,20.58370417,1269651.78,0.363421544,20.03934845,326046.13,0.468717202,20.82699518,881177.7833,1.173226213,19.96839105,152867.5533,1.153577416,20.11735978,1064450.15,1.513606324,19.66344959,184788.58,0.711053373,29.31887877,303598.7267,2.337019527,20.93802562,1242408.98,1.073432533,20.9658518,862286.2667,0.453675988
,FALSE,30.d,2022/10/28 14:01,CalStd,8,30,29.71475177,29335.14333,1.007037495,30.3159985,1868862.11,1.54085158,30.07334828,488995.1567,1.00775021,31.24022172,1317996.077,0.799837672,30.11016314,229062.8333,0.428262447,29.71161602,1571994.057,1.936080188,30.01997411,282104.1767,1.408849143,0.529500231,5584.476667,4.175904399,30.32794823,1799487.337,1.808537361,31.43840229,1292685.2,0.157236456
,FALSE,40.d,2022/10/28 14:05,CalStd,9,40,39.47806858,38383.72667,0.988399102,40.36890289,2487812.17,0.975760504,40.26144672,654446.6967,0.594292024,39.79064996,1676672.943,1.229122518,40.31650629,305743.2367,0.101915226,40.05374092,2119100.82,0.711718376,40.20688034,377825.9467,0.794823841,0.245509812,2644.74,2.98987232,39.61767716,2350621.477,1.03904559,39.38754809,1619377.717,2.3416206
,FALSE,50.d,2022/10/28 14:08,CalStd,10,50,49.68232841,47840.97333,1.345407568,49.1410969,3027909.817,1.662851661,49.72725439,808168.46,0.902350183,48.97462267,2061925.993,0.984170497,49.70684675,376293,1.280420261,50.45229641,2669192.807,1.98706315,49.93337573,469221.4433,0.560823099,0.153827754,1695.69,4.528055,49.5734984,2941273.047,0.319590699,49.05153773,2016546.567,0.919086949
,FALSE,blk1.d,2022/10/28 14:11,Sample,,Wash1,<0.000,841.1466667,6.220222578,<0.000,781.1466667,6.040064256,<0.000,428.9033333,3.141335655,<0.000,2121.29,4.014038179,0.017750088,2978.1,5.883766545,0.347603261,18614.05667,2.015859002,0.000236612,22.22333333,62.43484988,0.087163565,1005.613333,5.839469093,0.008147295,696.7,15.40086416,0.015871485,1287.87,6.499322658
,FALSE,blk2.d,2022/10/28 14:14,Sample,,Wash2,<0.000,857.8233333,5.174786146,<0.000,618.9166667,7.699268663,<0.000,373.3466667,2.678476215,<0.000,1882.37,2.711274954,<0.000,2689.146667,4.031118157,0.141979747,7736.406667,4.828191015,<0.000,6.666666667,132.325366,0.066553095,792.2633333,1.897170544,0.001779227,318.9,21.04673193,0.015438615,1270.08,2.049821995
,FALSE,blk3.d,2022/10/28 14:17,Sample,,Wash3,<0.000,818.93,14.10326545,<0.000,590.0233333,8.825298218,<0.000,362.2333333,16.47097915,<0.000,1794.576667,7.696349216,0.002957978,2866.966667,3.222888433,0.081381681,4530.72,5.757933093,<0.000,14.44666667,48.02182097,0.056033237,683.3666667,4.390761447,<0.000,176.6733333,23.56831318,0.014005773,1211.193333,4.864216665
