"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_26-1",67747,642735,0.11,44.97,10
"Muscle_26-2",223102,556206,0.4,164.77,10
"Muscle_26-3",40955,527671,0.08,33.71,10
"Muscle_26-4",79404,506715,0.16,65.75,10
"Muscle_26-5",112502,527778,0.21,88.62,10
"Muscle_26-6",100272,494758,0.2,84.37,10
"Muscle_26-7",30936,475327,0.07,28.63,10
"Muscle_26-8",49026,503443,0.1,41.72,10
"Muscle_26-9",48131,505507,0.1,40.84,10
"Muscle_26-10",85400,468932,0.18,76.04,10
"Muscle_26-11",100491,594744,0.17,70.72,10
"Muscle_26-12",50771,523820,0.1,41.53,10
"Muscle_26-13",75922,494795,0.15,64.43,10
"Muscle_26-14",61616,514305,0.12,50.8,10
"Muscle_26-15",48665,396617,0.12,51.97,10
"Muscle_28-1",68056,542654,0.13,53.07,10
"Muscle_28-2",95420,434756,0.22,91.18,10
"Muscle_28-3",92927,462349,0.2,83.69,10
"Muscle_28-4",107888,469699,0.23,95.32,10
"Muscle_28-5",58907,461981,0.13,53.92,10
"Muscle_28-6",72305,504236,0.14,60.36,10
"Muscle_28-7",97822,532616,0.18,76.67,10
"Muscle_28-8",37885,398875,0.09,40.74,10
"Muscle_28-9",39587,428583,0.09,39.68,10
"Muscle_28-10",37735,413374,0.09,39.25,10
"Muscle_28-11",57877,397851,0.15,61.2,10
"Muscle_28-12",68147,446720,0.15,64.07,10
"Muscle_28-13",39677,437092,0.09,39.04,10
"Muscle_28-14",59618,401572,0.15,62.41,10
"Muscle_28-15",76040,353601,0.22,89.39,10
"Stomach_26-1",367209,18998,19.33,362.15,25
"Stomach_26-2",84707,24355,3.48,69,25
"Stomach_26-3",53181,19217,2.77,55.86,25
"Stomach_26-4",50422,22230,2.27,46.63,25
"Stomach_26-5",134765,20200,6.67,128.06,25
"Stomach_26-6",145727,18452,7.9,150.74,25
"Stomach_26-7",103089,17575,5.87,113.16,25
"Stomach_26-8",74158,16697,4.44,86.82,25
"Stomach_26-9",65789,19602,3.36,66.75,25
"Stomach_26-10",178919,19737,9.07,172.33,25
"Stomach_26-11",1610472,19873,81.04,1503.44,25
"Stomach_26-12",238923,18618,12.83,242.02,25
"Stomach_26-13",680711,14892,45.71,850.07,25
"Stomach_26-14",844708,15712,53.76,998.97,25
"Stomach_26-15",1394829,18067,77.2,1432.47,25
"Stomach_28-1",1153709,18889,61.08,1134.3,25
"Stomach_28-2",1180359,17465,67.59,1254.63,25
"Stomach_28-3",1478811,18450,80.15,1487.04,25
"Stomach_28-4",2224440,17901,124.26,2302.89,25
"Stomach_28-5",181357,16259,11.15,210.97,25
"Stomach_28-6",131024,24913,5.26,101.94,25
"Stomach_28-7",78842,16331,4.83,93.96,25
"Stomach_28-8",158407,16916,9.36,177.86,25
"Stomach_28-9",125610,16205,7.75,148.03,25
"Stomach_28-10",188543,14342,13.15,247.8,25
"Stomach_28-11",96089,14508,6.62,127.17,25
"Stomach_28-12",141706,15637,9.06,172.28,25
"Stomach_28-13",150335,12044,12.48,235.53,25
"Stomach_28-14",146904,14400,10.2,193.36,25
"Stomach_28-15",110994,17299,6.42,123.34,25
"Liver_26-1",289091,15936,18.14,436.7,25
"Liver_26-2",274864,8478,32.42,778,25
"Liver_26-3",248778,3558,69.93,1674.29,25
"Liver_26-4",62606,7940,7.89,191.59,25
"Liver_26-5",252349,6650,37.95,910.06,25
"Liver_26-6",282234,3996,70.62,1690.98,25
"Liver_26-7",384598,3392,113.39,2713.06,25
"Liver_26-8",219558,7666,28.64,687.65,25
"Liver_26-9",140775,8185,17.2,414.17,25
"Liver_26-10",192083,2410,79.71,1908.2,25
"Liver_26-11",1108201,8377,132.29,3164.77,25
"Liver_26-12",325692,3886,83.81,2005.99,25
"Liver_26-13",240350,6516,36.89,884.69,25
"Liver_26-14",61238,1807,33.89,813.17,25
"Liver_26-15",536716,4491,119.52,2859.52,25
"Liver_28-1",267163,4105,65.09,1558.68,25
"Liver_28-2",110083,1642,67.02,1604.87,25
"Liver_28-3",98754,3394,29.1,698.62,25
"Liver_28-4",227161,4599,49.39,1183.59,25
"Liver_28-5",615129,5187,118.6,2837.52,25
"Liver_28-6",653221,7149,91.37,2186.84,25
"Liver_28-7",230966,1753,131.79,3152.72,25
"Liver_28-8",61166,7392,8.28,200.91,25
"Liver_28-9",257186,6682,38.49,922.96,25
"Liver_28-10",194212,7938,24.46,587.82,25
"Liver_28-11",60736,8409,7.22,175.76,25
"Liver_28-12",273586,2464,111.04,2656.91,25
"Liver_28-13",175147,4327,40.48,970.62,25
"Liver_28-14",69782,7273,9.59,232.45,25
"Liver_28-15",224624,1477,152.12,3638.65,25
