"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_60-1",1292383,670226,1.93,"5.13",1
"Muscle_60-2",395456,634258,0.62,"1.48",1
"Muscle_60-3",424269,624639,0.68,"1.64",1
"Muscle_60-4",864552,530748,1.63,"4.29",1
"Muscle_60-5",427346,564152,0.76,"1.86",1
"Muscle_60-6",836701,575906,1.45,"3.80",1
"Muscle_60-7",894151,543150,1.65,"4.34",1
"Muscle_60-8",1020655,520669,1.96,"5.22",1
"Muscle_60-9",459549,551878,0.83,"2.07",1
"Muscle_60-10",721388,549392,1.31,"3.41",1
"Muscle_60-11",335753,610133,0.55,"1.28",1
"Muscle_60-12",408078,567322,0.72,"1.75",1
"Muscle_60-13",168924,578898,0.29,"BLOQ",1
"Muscle_60-14",148673,528527,0.28,"BLOQ",1
"Muscle_60-15",144674,539631,0.27,"BLOQ",1
"Muscle_65-1",72066,515852,0.14,"BLOQ",1
"Muscle_65-2",63083,502162,0.13,"BLOQ",1
"Muscle_65-3",310457,516540,0.6,"1.42",1
"Muscle_65-4",75912,554508,0.14,"BLOQ",1
"Muscle_65-5",580014,515143,1.13,"2.89",1
"Muscle_65-6",409366,607838,0.67,"1.62",1
"Muscle_65-7",837252,547994,1.53,"4.01",1
"Muscle_65-8",840823,551385,1.52,"4.00",1
"Muscle_65-9",504489,523358,0.96,"2.43",1
"Muscle_65-10",381185,504929,0.75,"1.85",1
"Muscle_65-11",538202,514565,1.05,"2.66",1
"Muscle_65-12",518972,521165,1,"2.52",1
"Muscle_65-13",544928,517440,1.05,"2.68",1
"Muscle_65-14",894150,497290,1.8,"4.76",1
"Muscle_65-15",642700,490507,1.31,"3.40",1
"Stomach_60-1",162100,63410,2.56,"6.37",0.5
"Stomach_60-2",89890,57460,1.56,"3.79",0.5
"Stomach_60-3",197700,55460,3.56,"8.99",0.5
"Stomach_60-4",406600,44610,9.11,"23.43",0.5
"Stomach_60-5",216300,42870,5.05,"12.84",0.5
"Stomach_60-6",92420,49050,1.88,"4.62",0.5
"Stomach_60-7",191100,42210,4.53,"11.49",0.5
"Stomach_60-8",649800,49820,13.04,"33.64",0.5
"Stomach_60-9",342300,41830,8.18,"21.01",0.5
"Stomach_60-10",115400,41390,2.79,"6.97",0.5
"Stomach_60-11",195100,54430,3.58,"9.04",0.5
"Stomach_60-12",254100,47470,5.35,"13.64",0.5
"Stomach_60-13",80200,48070,1.67,"4.06",0.5
"Stomach_60-14",179300,45170,3.97,"10.04",0.5
"Stomach_60-15",130400,45410,2.87,"7.19",0.5
"Stomach_65-1",113000,49060,2.3,"5.71",0.5
"Stomach_65-2",163800,41660,3.93,"9.94",0.5
"Stomach_65-3",128100,46040,2.78,"6.95",0.5
"Stomach_65-4",55280,46810,1.18,"2.79",0.5
"Stomach_65-5",132200,33730,3.92,"9.92",0.5
"Stomach_65-6",41610,48510,0.86,"1.95",0.5
"Stomach_65-7",64110,39420,1.63,"3.95",0.5
"Stomach_65-8",315700,40730,7.75,"19.88",0.5
"Stomach_65-9",120400,44840,2.68,"6.70",0.5
"Stomach_65-10",305400,41830,7.3,"18.71",0.5
"Stomach_65-11",52940,44620,1.19,"2.80",0.5
"Stomach_65-12",54800,43690,1.25,"2.98",0.5
"Stomach_65-13",206800,11880,17.41,"45.01",0.5
"Stomach_65-14",139900,30930,4.52,"11.48",0.5
"Stomach_65-15",86990,34760,2.5,"6.23",0.5
"Liver_60-1",226478,17852,12.69,"29.47",1
"Liver_60-2",234915,9297,25.27,"59.31",1
"Liver_60-3",521748,7601,68.64,"162.21",1
"Liver_60-4",451183,16521,27.31,"64.16",1
"Liver_60-5",398314,9945,40.05,"94.39",1
"Liver_60-6",545811,8925,61.15,"144.44",1
"Liver_60-7",179800,23765,7.57,"17.32",1
"Liver_60-8",229049,9413,24.33,"57.10",1
"Liver_60-9",288643,9463,30.5,"71.73",1
"Liver_60-10",580146,7384,78.57,"185.76",1
"Liver_60-11",470329,9033,52.07,"122.90",1
"Liver_60-12",259029,9196,28.17,"66.19",1
"Liver_60-13",201492,6680,30.16,"70.93",1
"Liver_60-14",441173,7225,61.06,"144.22",1
"Liver_60-15",139289,7548,18.45,"43.15",1
"Liver_65-1",178219,6291,28.33,"66.58",1
"Liver_65-2",674637,6841,98.62,"233.32",1
"Liver_65-3",431257,6615,65.19,"154.02",1
"Liver_65-4",227601,7492,30.38,"71.44",1
"Liver_65-5",320340,6638,48.26,"113.85",1
"Liver_65-6",156817,15878,9.88,"22.80",1
"Liver_65-7",206237,7373,27.97,"65.73",1
"Liver_65-8",333940,8249,40.48,"95.41",1
"Liver_65-9",183530,10952,16.76,"39.12",1
"Liver_65-10",142301,10075,14.12,"32.88",1
"Liver_65-11",128198,8651,14.82,"34.53",1
"Liver_65-12",180333,8761,20.58,"48.20",1
"Liver_65-13",179633,8101,22.17,"51.98",1
"Liver_65-14",140172,24062,5.83,"13.19",1
"Liver_65-15",337477,7552,44.69,"105.39",1
