Sample..Name,Area,IS.Area,Area..Ratio,Cal..Conc.,LOQ
Muscle_47-1,699255,84808,8.25,239.72,25
Muscle_47-2,662962,75994,8.72,253.28,25
Muscle_47-3,611023,72142,8.47,246.08,25
Muscle_47-4,1176100,72104,16.31,468.23,25
Muscle_47-5,685321,70846,9.67,280.18,25
Muscle_47-6,1124925,63123,17.82,511.01,25
Muscle_47-7,194724,66958,2.91,88.52,25
Muscle_47-8,542915,62576,8.68,251.92,25
Muscle_47-9,338073,65370,5.17,152.64,25
Muscle_47-10,917970,64109,14.32,411.79,25
Muscle_47-11,49837,69918,0.71,26.32,25
Muscle_47-12,107276,61045,1.76,55.91,25
Muscle_47-13,262724,62741,4.19,124.76,25
Muscle_47-14,651525,61814,10.54,304.73,25
Muscle_47-15,1377718,57868,23.81,680.62,25
Muscle_49-1,115827,52611,2.2,68.5,25
Muscle_49-2,68249,56937,1.2,40.09,25
Muscle_49-3,85235,52177,1.63,52.41,25
Muscle_49-4,75827,52399,1.45,47.12,25
Muscle_49-5,201221,61494,3.27,98.83,25
Muscle_49-6,51557,67888,0.76,27.64,25
Muscle_49-7,43980,60497,0.73,26.72,25
Muscle_49-8,23382,50206,0.47,19.32,25
Muscle_49-9,14035,48999,0.29,14.24,25
Muscle_49-10,22907,61976,0.37,16.6,25
Muscle_49-11,N/A,48394,N/A,N/A,25
Muscle_49-12,226281,45551,4.97,146.86,25
Muscle_49-13,40836,58910,0.69,25.77,25
Muscle_49-14,18233,41611,0.44,18.54,25
Muscle_49-15,41463,48239,0.86,30.48,25
Stomach_47-1,731047,647360,1.13,330.56,25
Stomach_47-2,N/A,536125,N/A,N/A,25
Stomach_47-3,1689016,525717,3.21,951.07,25
Stomach_47-4,N/A,575989,N/A,N/A,25
Stomach_47-5,N/A,511610,N/A,N/A,25
Stomach_47-6,N/A,739333,N/A,N/A,25
Stomach_47-7,N/A,583684,N/A,N/A,25
Stomach_47-8,N/A,347671,N/A,N/A,25
Stomach_47-9,N/A,555072,N/A,N/A,25
Stomach_47-10,59610,167175,0.36,100.43,25
Stomach_47-11,139104,590846,0.24,64.36,25
Stomach_47-12,72394,404182,0.18,47.58,25
Stomach_47-13,N/A,322778,N/A,N/A,25
Stomach_47-14,179793,306050,0.59,169.2,25
Stomach_47-15,69297,277702,0.25,68.56,25
Stomach_49-1,93494,472535,0.2,53.17,25
Stomach_49-2,N/A,86322,N/A,N/A,25
Stomach_49-3,123708,501961,0.25,67.64,25
Stomach_49-4,67170,451606,0.15,38.54,25
Stomach_49-5,143940,427935,0.34,94.41,25
Stomach_49-6,31309,601485,0.05,9.74,25
Stomach_49-7,N/A,74828,N/A,N/A,25
Stomach_49-8,N/A,475393,N/A,N/A,25
Stomach_49-9,N/A,347166,N/A,N/A,25
Stomach_49-10,N/A,39464,N/A,N/A,25
Stomach_49-11,30044,503041,0.06,12.03,25
Stomach_49-12,N/A,444606,N/A,N/A,25
Stomach_49-13,28818,457997,0.06,12.98,25
Stomach_49-14,75002,311672,0.24,65.91,25
Stomach_49-15,N/A,346829,N/A,N/A,25
Liver_47-1,N/A,16736,N/A,N/A,25
Liver_47-2,N/A,10404,N/A,N/A,25
Liver_47-3,N/A,10678,N/A,N/A,25
Liver_47-4,N/A,8158,N/A,N/A,25
Liver_47-5,N/A,7871,N/A,N/A,25
Liver_47-6,N/A,12483,N/A,N/A,25
Liver_47-7,N/A,11873,N/A,N/A,25
Liver_47-8,N/A,6624,N/A,N/A,25
Liver_47-9,N/A,6512,N/A,N/A,25
Liver_47-10,N/A,7223,N/A,N/A,25
Liver_47-11,75631,2681,28.21,437.62,25
Liver_47-12,842925,1861,453.02,6995.11,25
Liver_47-13,N/A,3394,N/A,N/A,25
Liver_47-14,N/A,6951,N/A,N/A,25
Liver_47-15,N/A,3049,N/A,N/A,25
Liver_49-1,N/A,7991,N/A,N/A,25
Liver_49-2,4181828,2352,1777.96,27447.14,25
Liver_49-3,N/A,5146,N/A,N/A,25
Liver_49-4,N/A,7665,N/A,N/A,25
Liver_49-5,N/A,3010,N/A,N/A,25
Liver_49-6,N/A,12810,N/A,N/A,25
Liver_49-7,N/A,13393,N/A,N/A,25
Liver_49-8,N/A,2410,N/A,N/A,25
Liver_49-9,N/A,10670,N/A,N/A,25
Liver_49-10,N/A,4047,N/A,N/A,25
Liver_49-11,N/A,2125,N/A,N/A,25
Liver_49-12,N/A,9470,N/A,N/A,25
Liver_49-13,N/A,6239,N/A,N/A,25
Liver_49-14,N/A,6082,N/A,N/A,25
Liver_49-15,N/A,10670,N/A,N/A,25
Inksac_47-1,934657,39804,23.48,418.21,10
Inksac_47-2,169069,37178,4.55,81.77,10
Inksac_47-3,701522,35481,19.77,352.29,10
Inksac_47-4,394543,34987,11.28,201.35,10
Inksac_47-5,1200234,35312,33.99,604.93,10
Inksac_47-6,128810,30826,4.18,75.22,10
Inksac_47-7,552987,25787,21.44,382.01,10
