,Stomach (mg),Liver (mg) ,Muscle  (mg)
26-1,102.7,104.5,101
26-2,102.4,102.8,107.3
26-3,104.8,101.7,108.5
26-4,104,107.1,100.3
26-5,109,108.8,102.5
26-6,108.1,103.8,109.1
26-7,101.1,107.4,101.7
26-8,100.5,106.1,102.1
26-9,102.8,105.8,106.7
26-10,102,101.9,104.9
26-11,104.2,107.4,105.9
26-12,105.5,106.1,100.3
26-13,103.7,108.5,103
26-14,107.6,107.9,108.5
26-15,107.1,108.3,103.8
28-1,102.1,104.7,101.5
28-2,103.4,105.9,105.8
28-3,104.5,106,108.3
28-4,104.8,107.3,108.1
28-5,100.8,102.3,103.7
28-6,100.6,102.7,104.1
28-7,105.7,105.3,102
28-8,105.2,104.1,107.3
28-9,100.9,102,104.5
28-10,107.1,104.4,108.1
28-11,104.6,106,105.5
28-12,102.5,107.3,103.1
28-13,100.9,104.1,104.6
28-14,104.1,102,104.3
28-15,100.5,108.9,106.9
