,Stomach (mg),Liver (mg) ,Muscle  (mg),Ink sac (mg) 
47-1,108.9,101.8,100,105.2
47-2,106.3,105.1,102.4,106.5
47-3,104.7,105.6,106.4,101
47-4,105.7,101,103.3,100.9
47-5,102.9,107.3,101.2,104
47-6,101.4,108.4,101.7,107.6
47-7,107.6,105.2,102,106.7
47-8,108,103.8,106.1,58.1
47-9,103.5,106.7,101.4,102.9
47-10,105.9,106.6,109,103.4
47-11,101,109.3,101.8,108.7
47-12,100,104.4,102.1,102.2
47-13,104,106.1,108,105.3
47-14,103.1,107.3,103.3,101.7
47-15,104,109.9,103.2,100.7
49-1,106.1,107.6,103.5,105.2
49-2,101.7,108.4,106.4,108.1
49-3,103,107.2,108.6,103.9
49-4,108.6,106,105.4,105.8
49-5,100.6,102.6,105.4,103.6
49-6,100.4,101.9,105.5,100.4
49-7,101.5,109.5,101.9,102.6
49-8,106.2,108.5,100,106.9
49-9,109.8,102.7,107.5,105.4
49-10,101.3,106.8,102,102.1
49-11,104.3,106.6,101.2,103
49-12,107.1,105.3,102.1,108.1
49-13,102.4,109.9,108.8,102.2
49-14,108.8,103.7,103.7,101.5
49-15,107.8,106.7,103.2,109.8
