Area,ID,Month_of_Capture,Day_of_Capture,Longitude,Latitude,Water_temperature,Mantle_length_mm,Wet_Weight_g,Maturity_level
26,1,6,18,059°36'W,49°55'S,12.8,289.1,525.56,4
26,2,6,18,059°36'W,49°55'S,12.8,276.4,553.24,3
26,3,6,23,059°36'W,49°55'S,11.2,249,323.08,3
26,4,6,23,059°36'W,49°55'S,11.2,255.7,341.07,4
26,5,6,9,059°36'W,49°55'S,10.1,269.9,392.15,4
26,6,6,9,059°36'W,49°55'S,10.1,266.4,413.92,4
26,7,6,9,059°36'W,49°55'S,10.1,246.8,320.41,3
26,8,6,9,059°36'W,49°55'S,10.1,254,352.35,3
26,9,6,9,059°36'W,49°55'S,10.1,252.1,346.71,3
26,10,6,9,059°36'W,49°55'S,10.1,281,514.47,3
26,11,6,9,059°36'W,49°55'S,10.1,284.3,537.33,4
26,12,6,9,059°36'W,49°55'S,10.1,268.8,435.05,3
26,13,6,9,059°36'W,49°55'S,10.1,273.7,434.67,4
26,14,6,9,059°36'W,49°55'S,10.1,275,485.43,5
26,15,6,9,059°36'W,49°55'S,10.1,242.7,342.63,5
28,1,5,9,060°08'W,49°27'S,10.1,268.7,428.87,3
28,2,5,9,060°08'W,49°27'S,10.1,258.8,348.11,3
28,3,5,9,060°08'W,49°27'S,10.1,257.5,386.02,5
28,4,5,9,060°08'W,49°27'S,10.1,238.7,295.47,3
28,5,5,9,060°08'W,49°27'S,10.1,254.8,341.83,3
28,6,5,9,060°08'W,49°27'S,10.1,260.5,379.29,3
28,7,5,9,060°08'W,49°27'S,10.1,271,462.42,4
28,8,5,9,060°08'W,49°27'S,10.1,246.2,310.29,3
28,9,5,9,060°08'W,49°27'S,10.1,261.4,256.25,3
28,10,5,9,060°08'W,49°27'S,10.1,243.5,316.46,3
28,11,5,9,060°08'W,49°27'S,10.1,249.8,360.31,4
28,12,5,9,060°08'W,49°27'S,10.1,231.4,341.05,4
28,13,5,9,060°08'W,49°27'S,10.1,267.7,366.53,3
28,14,5,9,060°08'W,49°27'S,10.1,265.6,423.27,3
28,15,5,9,060°08'W,49°27'S,10.1,287.4,482.5,4
