Area,ID,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Gender,Maturity_level
60,1,59°31'W,50°05'S,4,227.3,233.03,0,3
60,2,59°31'W,50°05'S,4,239.3,336.23,0,3
60,3,59°31'W,50°05'S,4,240.6,344.68,1,5
60,4,59°31'W,50°05'S,4,240.6,310.74,0,3
60,5,59°31'W,50°05'S,4,235.9,301.78,1,5
60,6,59°31'W,50°05'S,4,241.8,292.32,0,2
60,7,59°31'W,50°05'S,4,237.3,346.48,1,5
60,8,59°31'W,50°05'S,4,223.4,259.5,1,5
60,9,59°31'W,50°05'S,4,219,226.89,0,2
60,10,59°31'W,50°05'S,4,215.3,268.83,1,5
60,11,59°31'W,50°05'S,4,235.1,277.38,0,2
60,12,59°31'W,50°05'S,4,226.7,271.44,1,5
60,13,59°31'W,50°05'S,4,236.5,293.22,1,5
60,14,59°31'W,50°05'S,4,235.3,308.75,1,5
60,15,59°31'W,50°05'S,4,245.7,346.14,0,3
65,1,59°52'W,49°42'S,3,229.1,286.8,1,5
65,2,59°52'W,49°42'S,3,235,259.86,0,3
65,3,59°52'W,49°42'S,3,248.1,327.45,0,4
65,4,59°52'W,49°42'S,3,248.6,341.04,0,3
65,5,59°52'W,49°42'S,3,253.6,381.95,1,5
65,6,59°52'W,49°42'S,3,222.4,263.52,1,5
65,7,59°52'W,49°42'S,3,221.9,253.33,1,5
65,8,59°52'W,49°42'S,3,223.1,255.04,0,3
65,9,59°52'W,49°42'S,3,234.1,285.25,0,3
65,10,59°52'W,49°42'S,3,236.5,345.59,1,5
65,11,59°52'W,49°42'S,3,236.1,257.62,0,3
65,12,59°52'W,49°42'S,3,235,272.61,0,3
65,13,59°52'W,49°42'S,3,241.4,320.13,0,4
65,14,59°52'W,49°42'S,3,237.4,316.7,1,5
65,15,59°52'W,49°42'S,3,231.8,302.9,1,5
