Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,1299.06,4013.08,5223.33,9216.66,31059.84,18659.55,27430.75,36570.36,46106.93,962.9500152,1332.31,1478.2,1818.6
Metal_A [ He ] ,Conc. [ ppb ],0,1.41,4.34,5.65,9.98,33.62,20.2,29.69,39.58,49.9,NA,NA,NA,NA
,Avg.intensity,1332.31,2631.37,5345.39,6555.64,10548.97,32392.15,19991.86,28763.06,37902.67,47439.24,NA,NA,NA,NA
,std,3.65,8.81,5.32,9.45,2.1,9.07,2.46,1.19,1.39,3,NA,NA,NA,NA
NA,y-y0,0,59891.59,154423.36,301451.35,451648.47,607336.34,1221415.18,1767067.41,2380812.81,2904128.31,60345.42672,7440.64,8168.33,9866.29
Metal_B [ He ] ,Conc. [ ppb ],0,1.02,2.62,5.12,7.67,10.31,20.73,29.99,40.41,49.29,NA,NA,NA,NA
,Avg.intensity,7440.64,67332.23,161864,308891.99,459089.11,614776.98,1228855.82,1774508.05,2388253.45,2911568.95,NA,NA,NA,NA
,std,3.26,0.39,0.67,1.52,0.32,0.74,0.44,2.01,2.66,1.35,NA,NA,NA,NA
NA,y-y0,0,18513.82,42319.28,79224.5,118253.82,159363.2,315702.28,463449.73,620122.32,776498.45,15902.12621,315.57,423.4,675
Metal_C [ He ] ,Conc. [ ppb ],0,1.19,2.72,5.1,7.61,10.25,20.31,29.82,39.9,49.97,NA,NA,NA,NA
,Avg.intensity,315.57,18829.39,42634.85,79540.07,118569.39,159678.77,316017.85,463765.3,620437.89,776814.02,NA,NA,NA,NA
,std,11.39,1.46,1.28,0.9,2.1,1.02,1.47,0.85,0.32,0.8,NA,NA,NA,NA
NA,y-y0,0,42778.66,106075.02,206024.71,311742.5,427906.45,829270.02,1225814.5,1577872.25,2017019.57,40311.51953,4512.92,5782.86,8746.04
Metal_D [ He ] ,Conc. [ ppb ],0,1.06,2.63,5.11,7.73,10.61,20.57,30.4,39.13,50.05,NA,NA,NA,NA
,Avg.intensity,4512.92,47291.58,110587.94,210537.63,316255.42,432419.37,833782.94,1230327.42,1582385.17,2021532.49,NA,NA,NA,NA
,std,9.38,1.6,1.97,0.53,1.19,0.9,0.96,0.92,0.39,0.9,NA,NA,NA,NA
NA,y-y0,0,15823.02,26630.47,44436.02,64170.84,91021.86,153510.02,229121.79,302934.65,380790.2,7658.017231,1207.85,1527.45,2273.17
Metal_E [ He ] ,Conc. [ ppb ],0,2.07,3.48,5.8,8.38,11.89,20.05,29.92,39.56,49.72,NA,NA,NA,NA
,Avg.intensity,1207.85,17030.87,27838.32,45643.87,65378.69,92229.71,154717.87,230329.64,304142.5,381998.05,NA,NA,NA,NA
,std,8.82,1.86,1.75,3.21,0.53,0.61,0.36,1.12,0.88,0.33,NA,NA,NA,NA
NA,y-y0,0,25499.97,84466.98,199353.73,333336.64,466379.53,996288.36,1473429.23,1999797.72,2520544.06,42185.99853,82.22,145.73,293.94
Metal_F [ He ] ,Conc. [ ppb ],0,0.51,1.69,4,6.69,9.36,19.99,29.56,40.12,50.57,NA,NA,NA,NA
,Avg.intensity,82.22,25582.19,84549.2,199435.95,333418.86,466461.75,996370.58,1473511.45,1999879.94,2520626.28,NA,NA,NA,NA
,std,25.75,2.98,2.34,3.85,2.38,2.17,2.56,2.42,4.39,2.42,NA,NA,NA,NA
NA,y-y0,0,9307.24,23096.42,44187.77,67111.69,89504.69,176684.18,261646.64,345532.31,431640.48,8673.663938,16.67,26.68,50.03
Metal_G [ He ] ,Conc. [ ppb ],0,1.07,2.66,5.09,7.74,10.32,20.37,30.17,39.84,49.76,NA,NA,NA,NA
,Avg.intensity,16.67,9323.91,23113.09,44204.44,67128.36,89521.36,176700.85,261663.31,345548.98,431657.15,NA,NA,NA,NA
,std,20.01,2.06,1.43,0.55,0.75,0.56,0.66,0.52,1.1,1.47,NA,NA,NA,NA
NA,y-y0,0,2867.6,10476.04,23529.39,35895.08,47831.03,103309.62,2130.21,1274.54,841.16,4699.635593,34.44,49.71,85.34
Metal_H [ He ] ,Conc. [ ppb ],0,0.57,2.08,4.68,7.14,9.51,20.54,0.42,0.25,0.17,NA,NA,NA,NA
,Avg.intensity,34.44,2902.04,10510.48,23563.83,35929.52,47865.47,103344.06,2164.65,1308.98,875.6,NA,NA,NA,NA
,std,14.78,2.25,1.56,1.36,1.39,1.98,0.77,2.09,3.81,2.7,NA,NA,NA,NA
NA,y-y0,0,61425.44,153364.43,294730.64,434177.17,585738.91,1180684.19,1733323.04,2264931.06,2841853.97,58472.52531,365.57,446.4,635
Metal_I [ He ] ,Conc. [ ppb ],0,1.07,2.68,5.16,7.6,10.25,20.66,30.33,39.64,49.73,NA,NA,NA,NA
,Avg.intensity,365.57,61791.01,153730,295096.21,434542.74,586104.48,1181049.76,1733688.61,2265296.63,2842219.54,NA,NA,NA,NA
,std,7.37,1.89,0.48,1.94,0.27,0.71,2.17,1.43,3.48,2.1,NA,NA,NA,NA
NA,y-y0,0,44444.94,106878.14,205968.39,308204.79,452541.43,807071.51,1218285.31,1567392.85,1989626.59,41277.04141,613.36,760.75,1104.66
208  J  [ He ] ,Conc. [ ppb ],0,1.11,2.68,5.16,7.72,11.34,20.22,30.52,39.27,49.85,NA,NA,NA,NA
,Avg.intensity,613.36,45058.3,107491.5,206581.75,308818.15,453154.79,807684.87,1218898.67,1568006.21,1990239.95,NA,NA,NA,NA
,std,8.01,2.1,0.09,2.33,1.42,0.76,1.37,1.72,1.54,2.14,NA,NA,NA,NA
Calibration curve --->,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,y-y0,0,29875.23,-7310.12,-10420.98,-10123.75,22796.01,12943.77,-10871.41,-2667.72,17543.72,145.7881909,15168.38,17548.3,23101.44
Metal_A [ He ] ,Conc. [ ppb ],0,33.62,0.31,7.7,6.51,12.05,2.65,3.23,30.96,9.57,NA,NA,NA,NA
,Avg.intensity,15168.38,45043.61,7858.26,4747.4,5044.63,37964.39,28112.15,4296.97,12500.66,32712.1,NA,NA,NA,NA
,std,5.23,6.09,5.49,4.3,5.26,6.99,4.34,4.02,2.95,3.06,NA,NA,NA,NA
NA,y-y0,0,468357.13,1172383.36,41086.51,1444152.53,2568233.29,707246.38,109446.18,1646627.31,1303168.88,163117.4244,57916.19,59896.92,64518.64
Metal_B [ He ] ,Conc. [ ppb ],0,6.89,46.93,0.93,27.06,14.57,43.65,28.21,40.08,2.52,NA,NA,NA,NA
,Avg.intensity,57916.19,526273.32,1230299.55,99002.7,1502068.72,2626149.48,765162.57,167362.37,1704543.5,1361085.07,NA,NA,NA,NA
,std,1.14,2.6,3.93,2.64,3.58,2.72,0.83,2.37,1.73,2.32,NA,NA,NA,NA
NA,y-y0,0,-683580.06,-694350.05,-562364.14,-146769.59,-593706.95,-622660.57,-245991.37,-148467.38,-330432.62,-71548.56282,755463.76,791046.1,874071.57
Metal_C [ He ] ,Conc. [ ppb ],0,19.59,48.91,32.72,19.29,24.88,31.5,21.63,16.69,1.76,NA,NA,NA,NA
,Avg.intensity,755463.76,71883.7,61113.71,193099.62,608694.17,161756.81,132803.19,509472.39,606996.38,425031.14,NA,NA,NA,NA
,std,1.57,2.08,7.99,1.52,10.5,5.95,5.68,5.21,7.02,1.8,NA,NA,NA,NA
NA,y-y0,0,1234757.94,141567.7,1051277.89,99849.32,920655.86,932360.1,86184.11,1390408.25,1263328.46,28060.47659,302758.15,340633.19,429008.3
Metal_D [ He ] ,Conc. [ ppb ],0,3.55,24.76,48.73,9.17,45.52,28.58,36.79,5.16,44.04,NA,NA,NA,NA
,Avg.intensity,302758.15,1537516.09,444325.85,1354036.04,402607.47,1223414.01,1235118.25,388942.26,1693166.4,1566086.61,NA,NA,NA,NA
,std,4.17,7.15,2.37,4.42,5.22,1.65,6.01,8.31,8.67,5.02,NA,NA,NA,NA
NA,y-y0,0,-19079.79,19053.49,34116.6,-93242.84,-40094.46,85400.37,-83464.48,-209413.91,-15640.22,-1942.493221,260976.15,295268.42,375283.7
Metal_E [ He ] ,Conc. [ ppb ],0,27.18,41.89,32.83,47.84,22.96,6.57,27.24,29.57,30.85,NA,NA,NA,NA
,Avg.intensity,260976.15,241896.36,280029.64,295092.75,167733.31,220881.69,346376.52,177511.67,51562.24,245335.93,NA,NA,NA,NA
,std,4.38,1.44,4.6,0.67,3.21,9.19,2.72,1.15,10.47,1.22,NA,NA,NA,NA
NA,y-y0,0,1070109.89,-388670.93,1660290.74,1874234.73,235949.11,1488569.94,1229089.88,1894374.66,130005.95,253747.4208,462969.29,516720.02,642138.41
Metal_F [ He ] ,Conc. [ ppb ],0,40.13,28.17,24.62,42.57,41.5,19.53,21.39,1.44,15.94,NA,NA,NA,NA
,Avg.intensity,462969.29,1533079.18,74298.36,2123260.03,2337204.02,698918.4,1951539.23,1692059.17,2357343.95,592975.24,NA,NA,NA,NA
,std,3.87,7.9,7.17,2.26,7.83,2.13,3.29,4.9,4.88,3.09,NA,NA,NA,NA
NA,y-y0,0,251387.49,144242.72,212168.69,254355.66,123716.32,-8651.38,60913.1,184738.19,-107641.07,1517.31375,169252.02,196569.3,260309.61
Metal_G [ He ] ,Conc. [ ppb ],0,14.25,42.23,0.17,11.65,18.77,27.61,19.64,8.65,24.88,NA,NA,NA,NA
,Avg.intensity,169252.02,420639.51,313494.74,381420.71,423607.68,292968.34,160600.64,230165.12,353990.21,61610.95,NA,NA,NA,NA
,std,5.38,3.86,5.2,8.64,3.98,12.86,2.06,13.07,4.35,7.89,NA,NA,NA,NA
NA,y-y0,0,-65081.39,-97166.08,-222843.7,-82576.56,-101254.92,-130736.2,-35808.63,-106117.7,-30962.86,-23068.24056,226715.5,500406.45,1139018.67
Metal_H [ He ] ,Conc. [ ppb ],0,17.05,16.78,11.23,3.14,12.29,8.26,20.14,4.71,6.66,NA,NA,NA,NA
,Avg.intensity,226715.5,161634.11,129549.42,3871.8,144138.94,125460.58,95979.3,190906.87,120597.8,195752.64,NA,NA,NA,NA
,std,40.24,41.06,6.4,27.4,31.85,33.34,11.22,8.02,10.48,24.71,NA,NA,NA,NA
NA,y-y0,0,1683612.84,22672.55,2946433.09,666946.81,1396044.3,-61447.98,-61496.11,924108.4,2131171.7,242650.4038,80058.3,87767.91,105757.01
Metal_I [ He ] ,Conc. [ ppb ],0,48.75,19.54,32.61,5.2,23.85,8.49,46.75,8.79,40.4,NA,NA,NA,NA
,Avg.intensity,80058.3,1763671.14,102730.85,3026491.39,747005.11,1476102.6,18610.32,18562.19,1004166.7,2211230,NA,NA,NA,NA
,std,3.21,3.31,1.94,4.93,3.25,3.74,3.73,3.9,1.36,3.44,NA,NA,NA,NA
NA,y-y0,0,-216087.49,-201711.14,-2046050.49,-477883.48,-1608508.8,-505429.65,-1895702,-1516342.2,-988588.07,-164234.3942,2088096.01,2212755.34,2503627.12
208  J  [ He ] ,Conc. [ ppb ],0,17.05,10.52,46.26,36.26,46.05,47,8.38,1.58,39.43,NA,NA,NA,NA
,Avg.intensity,2088096.01,1872008.52,1886384.87,42045.52,1610212.53,479587.21,1582666.36,192394.01,571753.81,1099507.94,NA,NA,NA,NA
