"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_26-1","738037",41279,"17.88","316.97",2.5
"Muscle_26-2","2116677",34598,"61.18","1086.28",2.5
"Muscle_26-3","1076908",41882,"25.71","456.15",2.5
"Muscle_26-4","140396",33835,"4.15","73.04",2.5
"Muscle_26-5","727815",34272,"21.24","376.62",2.5
"Muscle_26-6","647781",31202,"20.76","368.17",2.5
"Muscle_26-7","870368",31207,"27.89","494.83",2.5
"Muscle_26-8","352660",33564,"10.51","185.99",2.5
"Muscle_26-9","1868200",35752,"52.25","927.71",2.5
"Muscle_26-10","254134",34167,"7.44","131.46",2.5
"Muscle_26-11","N/A",41968,"N/A","N/A",2.5
"Muscle_26-12","212220",36848,"5.76","101.64",2.5
"Muscle_26-13","64246",38213,"1.68","29.18",2.5
"Muscle_26-14","186272",35535,"5.24","92.45",2.5
"Muscle_26-15","1304263",28361,"45.99","816.37",2.5
"Muscle_28-1","1880060",33834,"55.57","986.58",2.5
"Muscle_28-2","618221",34545,"17.90","317.27",2.5
"Muscle_28-3","506916",32575,"15.56","275.79",2.5
"Muscle_28-4","269357",30550,"8.82","155.96",2.5
"Muscle_28-5","450158",31590,"14.25","252.49",2.5
"Muscle_28-6","85005",33726,"2.52","44.09",2.5
"Muscle_28-7","18808",35971,"0.52","8.60",2.5
"Muscle_28-8","64186",28637,"2.24","39.14",2.5
"Muscle_28-9","88591",30334,"2.92","51.20",2.5
"Muscle_28-10","514720",28360,"18.15","321.77",2.5
"Muscle_28-11","57556",27648,"2.08","36.30",2.5
"Muscle_28-12","N/A",31352,"N/A","N/A",2.5
"Muscle_28-13","181909",29346,"6.20","109.45",2.5
"Muscle_28-14","N/A",30112,"N/A","N/A",2.5
"Muscle_28-15","N/A",23486,"N/A","N/A",2.5
"Stomach_26-1","N/A",18998,"N/A","N/A",2.5
"Stomach_26-2","N/A",24355,"N/A","N/A",2.5
"Stomach_26-3","N/A",19217,"N/A","N/A",2.5
"Stomach_26-4","N/A",22230,"N/A","N/A",2.5
"Stomach_26-5","N/A",20200,"N/A","N/A",2.5
"Stomach_26-6","N/A",18452,"N/A","N/A",2.5
"Stomach_26-7","N/A",17575,"N/A","N/A",2.5
"Stomach_26-8","N/A",16697,"N/A","N/A",2.5
"Stomach_26-9","N/A",19602,"N/A","N/A",2.5
"Stomach_26-10","N/A",19737,"N/A","N/A",2.5
"Stomach_26-11","166223",19873,"8.36","155.52",2.5
"Stomach_26-12","N/A",18618,"N/A","N/A",2.5
"Stomach_26-13","126931",14892,"8.52","158.49",2.5
"Stomach_26-14","126763",15712,"8.07","150.00",2.5
"Stomach_26-15","1996708",18067,"110.51","2058.97",2.5
"Stomach_28-1","1254554",18889,"66.42","1237.29",2.5
"Stomach_28-2","1177509",17465,"67.42","1256.00",2.5
"Stomach_28-3","516411",18450,"27.99","521.22",2.5
"Stomach_28-4","428278",17901,"23.93","445.48",2.5
"Stomach_28-5","177732",16259,"10.93","203.36",2.5
"Stomach_28-6","N/A",24913,"N/A","N/A",2.5
"Stomach_28-7","N/A",16331,"N/A","N/A",2.5
"Stomach_28-8","N/A",16916,"N/A","N/A",2.5
"Stomach_28-9","N/A",16205,"N/A","N/A",2.5
"Stomach_28-10","N/A",14342,"N/A","N/A",2.5
"Stomach_28-11","67502",14508,"4.65","86.36",2.5
"Stomach_28-12","N/A",15637,"N/A","N/A",2.5
"Stomach_28-13","728756",12044,"60.51","1127.15",2.5
"Stomach_28-14","N/A",14400,"N/A","N/A",2.5
"Stomach_28-15","N/A",17299,"N/A","N/A",2.5
"Liver_26-1","N/A",15936,"N/A","N/A",5
"Liver_26-2","N/A",8478,"N/A","N/A",5
"Liver_26-3","115404",3558,"32.44","594.17",5
"Liver_26-4","N/A",7940,"N/A","N/A",5
"Liver_26-5","N/A",6650,"N/A","N/A",5
"Liver_26-6","82045",3996,"20.53","375.46",5
"Liver_26-7","79061",3392,"23.31","426.51",5
"Liver_26-8","N/A",7666,"N/A","N/A",5
"Liver_26-9","N/A",8185,"N/A","N/A",5
"Liver_26-10","63448",2410,"26.33","482.00",5
"Liver_26-11","198312",8377,"23.67","433.20",5
"Liver_26-12","N/A",3886,"N/A","N/A",5
"Liver_26-13","N/A",6516,"N/A","N/A",5
"Liver_26-14","4199502",1807,"2324.34","42690.38",5
"Liver_26-15","760032",4491,"169.25","3107.05",5
"Liver_28-1","2077882",4105,"506.23","9296.51",5
"Liver_28-2","259777",1642,"158.16","2903.35",5
"Liver_28-3","116129",3394,"34.22","626.92",5
"Liver_28-4","N/A",4599,"N/A","N/A",5
"Liver_28-5","N/A",5187,"N/A","N/A",5
"Liver_28-6","N/A",7149,"N/A","N/A",5
"Liver_28-7","1543220",1753,"880.56","16171.91",5
"Liver_28-8","N/A",7392,"N/A","N/A",5
"Liver_28-9","N/A",6682,"N/A","N/A",5
"Liver_28-10","N/A",7938,"N/A","N/A",5
"Liver_28-11","N/A",8409,"N/A","N/A",5
"Liver_28-12","125566",2464,"50.96","934.46",5
"Liver_28-13","N/A",4327,"N/A","N/A",5
"Liver_28-14","N/A",7273,"N/A","N/A",5
"Liver_28-15","115948",1477,"78.52","1440.64",5
