"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_60-1",382872,670226,0.57,"12.24",10
"Muscle_60-2",208570,634258,0.33,"BLOQ",10
"Muscle_60-3",271974,624639,0.44,"BLOQ",10
"Muscle_60-4",108324,530748,0.2,"BLOQ",10
"Muscle_60-5",109028,564152,0.19,"BLOQ",10
"Muscle_60-6",128463,575906,0.22,"BLOQ",10
"Muscle_60-7",180560,543150,0.33,"BLOQ",10
"Muscle_60-8",346325,520669,0.67,"13.92",10
"Muscle_60-9",191870,551878,0.35,"BLOQ",10
"Muscle_60-10",156355,549392,0.28,"BLOQ",10
"Muscle_60-11",161492,610133,0.26,"BLOQ",10
"Muscle_60-12",225331,567322,0.4,"BLOQ",10
"Muscle_60-13",186529,578898,0.32,"BLOQ",10
"Muscle_60-14",151675,528527,0.29,"BLOQ",10
"Muscle_60-15",169503,539631,0.31,"BLOQ",10
"Muscle_65-1",95902,515852,0.19,"BLOQ",10
"Muscle_65-2",128871,502162,0.26,"BLOQ",10
"Muscle_65-3",238506,516540,0.46,"10.29",10
"Muscle_65-4",247034,554508,0.45,"BLOQ",10
"Muscle_65-5",210761,515143,0.41,"BLOQ",10
"Muscle_65-6",157172,607838,0.26,"BLOQ",10
"Muscle_65-7",133084,547994,0.24,"BLOQ",10
"Muscle_65-8",190423,551385,0.35,"BLOQ",10
"Muscle_65-9",111076,523358,0.21,"BLOQ",10
"Muscle_65-10",94178,504929,0.19,"BLOQ",10
"Muscle_65-11",132739,514565,0.26,"BLOQ",10
"Muscle_65-12",160240,521165,0.31,"BLOQ",10
"Muscle_65-13",310222,517440,0.6,"12.75",10
"Muscle_65-14",381195,497290,0.77,"15.73",10
"Muscle_65-15",410394,490507,0.84,"16.98",10
"Stomach_60-1",536200,63410,8.46,"181.08",2.5
"Stomach_60-2",654300,57460,11.39,"243.89",2.5
"Stomach_60-3",438000,55460,7.9,"169.08",2.5
"Stomach_60-4",475000,44610,10.65,"228.05",2.5
"Stomach_60-5",1107000,42870,25.82,"553.29",2.5
"Stomach_60-6",658100,49050,13.41,"287.34",2.5
"Stomach_60-7",547900,42210,12.98,"278.03",2.5
"Stomach_60-8",1087000,49820,21.82,"467.47",2.5
"Stomach_60-9",528800,41830,12.64,"270.78",2.5
"Stomach_60-10",659000,41390,15.92,"341.04",2.5
"Stomach_60-11",61800,54430,1.14,"24.19",2.5
"Stomach_60-12",1212000,47470,25.53,"546.90",2.5
"Stomach_60-13",821400,48070,17.09,"366.04",2.5
"Stomach_60-14",2603000,45170,57.62,"1234.68",2.5
"Stomach_60-15",252300,45410,5.56,"118.91",2.5
