"Sample..Name","Area","IS.Area","Area..Ratio","Cal..Conc.","LOQ"
"Muscle_47-1",172283,1233207,0.14,"6.44",2.5
"Muscle_47-2",78018,1126622,0.07,"3.07",2.5
"Muscle_47-3",296099,1059269,0.28,"13.14",2.5
"Muscle_47-4",97516,1048751,0.09,"4.21",2.5
"Muscle_47-5",237694,1014977,0.23,"10.97",2.5
"Muscle_47-6",101221,945421,0.11,"4.88",2.5
"Muscle_47-7",237638,931159,0.26,"11.97",2.5
"Muscle_47-8",73090,914721,0.08,"3.58",2.5
"Muscle_47-9",95733,921475,0.1,"4.73",2.5
"Muscle_47-10",251022,900289,0.28,"13.10",2.5
"Muscle_47-11",38714,1039075,0.04,"BLOQ",2.5
"Muscle_47-12",175675,881856,0.2,"9.29",2.5
"Muscle_47-13",356140,870352,0.41,"19.34",2.5
"Muscle_47-14",230390,871768,0.26,"12.41",2.5
"Muscle_47-15",296957,844589,0.35,"16.59",2.5
"Muscle_49-1",753406,798804,0.94,"44.91",2.5
"Muscle_49-2",504479,805933,0.63,"29.72",2.5
"Muscle_49-3",49107,818291,0.06,"2.63",2.5
"Muscle_49-4",82396,771518,0.11,"4.87",2.5
"Muscle_49-5",95651,818512,0.12,"5.35",2.5
"Muscle_49-6",212976,985592,0.22,"10.10",2.5
"Muscle_49-7",161454,816561,0.2,"9.22",2.5
"Muscle_49-8",206501,767978,0.27,"12.63",2.5
"Muscle_49-9",106270,780108,0.14,"6.28",2.5
"Muscle_49-10",170386,870309,0.2,"9.13",2.5
"Muscle_49-11",122391,751527,0.16,"7.55",2.5
"Muscle_49-12",259401,703560,0.37,"17.41",2.5
"Muscle_49-13",253768,759706,0.33,"15.75",2.5
"Muscle_49-14",162381,676926,0.24,"11.24",2.5
"Muscle_49-15",182106,708083,0.26,"12.07",2.5
"Stomach_47-1",56472,647360,0.09,"2.80",2.5
"Stomach_47-2",71920,536125,0.13,"4.33",2.5
"Stomach_47-3",150800,525717,0.29,"9.28",2.5
"Stomach_47-4",42266,575989,0.07,"BLOQ",2.5
"Stomach_47-5",57565,511610,0.11,"3.62",2.5
"Stomach_47-6",18722,739333,0.03,"BLOQ",2.5
"Stomach_47-7",15605,583684,0.03,"BLOQ",2.5
"Stomach_47-8",20314,347671,0.06," BLOQ",2.5
