Area,ID,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Gender,Maturity_level
47,1,49°33'S,59°59'W,6,288,646.2,1,5
47,2,49°33'S,59°59'W,6,254,444.5,1,5
47,3,49°33'S,59°59'W,6,246,453.3,1,5
47,4,49°33'S,59°59'W,6,310,875.8,0,3
47,5,49°33'S,59°59'W,6,267,572.8,1,5
47,6,49°33'S,59°59'W,6,269,478.6,0,3
47,7,49°33'S,59°59'W,6,250,439.4,1,5
47,8,49°33'S,59°59'W,6,273,574.7,0,4
47,9,49°33'S,59°59'W,6,273,671.6,0,4
47,10,49°33'S,59°59'W,6,276,512.9,0,3
47,11,49°33'S,59°59'W,6,310,754.1,0,4
47,12,49°33'S,59°59'W,6,241,404,1,4
47,13,49°33'S,59°59'W,6,257,462.9,0,3
47,14,49°33'S,59°59'W,6,257,445.3,1,4
47,15,49°33'S,59°59'W,6,274.9,376.8,1,3
49,1,46°55'S,60°51'W,5,242.3,378.4,1,3
49,2,46°55'S,60°51'W,5,261.54,463.9,0,3
49,3,46°55'S,60°51'W,5,308.12,807.5,0,3
49,4,46°55'S,60°51'W,5,289,529.7,1,5
49,5,46°55'S,60°51'W,5,260,468,0,3
49,6,46°55'S,60°51'W,5,218,229.1,1,5
49,7,46°55'S,60°51'W,5,183,108.6,1,1
49,8,46°55'S,60°51'W,5,206,158.3,0,2
49,9,46°55'S,60°51'W,5,219,186.2,0,2
49,10,46°55'S,60°51'W,5,197,140.3,1,2
49,11,46°55'S,60°51'W,5,186,107.6,0,1
49,12,46°55'S,60°51'W,5,192,151.7,0,1
49,13,46°55'S,60°51'W,5,197,170.3,1,3
49,14,46°55'S,60°51'W,5,181,119.6,1,2
49,15,46°55'S,60°51'W,5,194,148.5,1,3
