Sample,,,,,,,Metal_A  [ He ] ,,,Metal_B  [ He ] ,,,Metal_C  [ He ] ,,,Metal_D  [ He ] ,,,Metal_E  [ He ] ,,,Metal_F [ He ] ,,,Metal_G  [ He ] ,,,Metal_H [ He ] ,,,Metal_I  [ He ] ,,,Metal_J  [ He ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD
,FALSE,0.d,2020/10/28 13:39,CalStd,1,0,0,2248.086667,12.24050592,0,2462.45,6.663530779,0,697.8133333,15.23902569,0,7674.066667,1.746855199,0,4939.7,1.245360875,0,381.1266667,16.62551247,0,17.78,10.81314059,0,62.22333333,27.49614678,0,356.68,4.074335482,0,786.7066667,13.38020336
,FALSE,1.d,2020/10/28 13:42,CalStd,2,1,2.761139953,4974.15,4.244430828,0.965911149,63682.03333,0.937537559,0.966217302,16895.20667,1.443814833,1.064510421,54201.71,1.466251823,1.375242277,15751.88667,2.752233298,0.627890951,35285.54333,2.563815338,0.998627387,9617.46,0.761700519,0.448246908,2609.183333,4.501683065,1.054942276,65176.25667,1.287765953,1.15122563,50064.74667,1.494219414
,FALSE,2.5.d,2020/10/28 13:45,CalStd,3,2.5,1.699614683,3926.11,3.058361577,2.559875507,164707.7167,0.641801261,2.434016287,41500.97333,0.501826704,2.458651343,115136.85,0.448287753,2.324195216,23212.57667,0.755854511,2.082372314,116140.0667,2.340929364,2.560656476,24633.05,3.057961471,1.78285572,10192.49333,2.220967846,2.661198621,163870.62,1.221945393,2.691721093,116005.4233,0.340919845
,FALSE,5.d,2020/10/28 13:48,CalStd,4,5,5.469918052,7648.516667,0.671305619,5.19248526,331562.89,0.910937029,5.100034623,86193.35,0.782196368,5.713526726,257401.01,1.318936134,6.130692514,53139.34667,2.277643112,4.670646648,260022.0667,2.195965416,5.144748884,49473.60667,1.80256389,4.277125243,24365.05,0.562401266,5.624763869,345963.09,1.973671939,5.60878955,240870.1,1.815057253
,FALSE,10.d,2020/10/28 13:52,CalStd,5,7.5,6.881871717,9042.533333,4.059872633,7.491454641,477271.89,0.41602263,7.247392724,122191.0533,0.53786713,7.344533709,328689.0967,0.837720097,7.032170819,60226.79,0.4558429,6.983069363,388569.4933,1.616030684,7.395076063,71105.72,0.574988369,8.16934284,46480.81333,3.066827151,7.829123985,481407.1733,1.838550983,7.748823544,332473.9333,2.458109566
,FALSE,15.d,2020/10/28 13:55,CalStd,6,10,10.05864845,12178.95333,4.540819316,9.951780667,633207.6967,0.90391289,9.669434738,162793.48,0.157404141,9.934243454,441880.1833,1.623914924,9.908500844,82840.56333,0.988510071,9.978596082,555090.6267,1.369477751,9.886559337,95056.03667,1.3168246,10.09389163,57416.19,1.949464761,10.1898007,626455.93,1.939844961,10.47863962,449323.3,0.61380978
,FALSE,20.d,2020/10/28 13:58,CalStd,7,20,19.46161399,21462.46667,3.229520436,19.82825194,1259179.823,3.663197105,19.75442052,331855.3267,1.371823721,20.27315017,893773.33,1.252987001,20.14505295,163320.5733,1.473220043,20.91398499,1162988.177,1.013820309,19.99087317,192187.54,1.742891236,30.75084676,174789.98,0.55079164,20.81547297,1279336.75,1.892355021,20.95802121,897891.6533,1.678704675
,FALSE,30.d,2020/10/28 14:01,CalStd,8,30,33.52665838,35348.83333,20.07281453,30.8207328,1955884.793,0.909054258,30.32847106,509115.7167,0.692707141,30.96564446,1361121.09,0.235327621,30.29827919,243145.4733,0.305443578,30.32507737,1686150.183,1.983136873,30.51033509,293309.81,0.439225207,0.592199724,3427.13,3.454345767,30.15481403,1853180.597,1.61700566,31.65722984,1355869.67,0.613315676
,FALSE,40.d,2020/10/28 14:05,CalStd,9,40,39.51653853,41262.62,1.57467735,39.888497,2530600.953,1.274044407,40.17845526,674238.0633,1.404007595,39.4026348,1729885.237,0.797059961,39.98379883,319293.2533,0.508365732,39.53664976,2198220.887,1.12190635,39.94153741,383970.7767,1.048207482,0.322682418,1895.72,1.273044362,40.18089803,2469220.483,2.209922653,39.46766673,1690194.247,1.056252385
,FALSE,50.d,2020/10/28 14:08,CalStd,10,50,48.56014556,50191.34,1.895933494,49.65482709,3149592.317,0.925756771,49.85636047,836475.7267,0.818307419,49.75514122,2182372.8,0.875518654,49.75266259,396096.2867,0.811600626,49.95311906,2777271.73,0.582226773,49.76516621,478404.09,0.985404926,0.206316491,1234.523333,8.120386248,49.27724007,3028133.567,0.88728245,48.84177925,2091451.723,0.928018434
,FALSE,blk1.d,2020/10/28 14:11,Sample,,Wash1,<0.000,786.7066667,10.08993722,<0.000,566.6933333,3.27537118,<0.000,337.7866667,15.73867076,<0.000,1437.876667,4.667811062,<0.000,3149.256667,8.828838467,0.231036671,13224.44,2.001308349,0.001039925,27.77666667,38.57863542,0.118117056,733.37,9.448258415,0.004792407,651.1433333,3.292273795,<0.000,334.4566667,12.54171899
,FALSE,blk2.d,2020/10/28 14:14,Sample,,Wash2,<0.000,775.59,4.241491629,<0.000,461.1266667,12.73401206,<0.000,350.0133333,21.96689875,<0.000,1416.753333,11.64954009,<0.000,3171.476667,3.922583183,0.08372373,5035.323333,0.960311461,<0.000,16.67,103.902268,0.08956514,571.1366667,5.264364578,<0.000,291.12,6.708259824,<0.000,293.3433333,1.136893486
,FALSE,blk3.d,2020/10/28 14:17,Sample,,Wash3,<0.000,758.9233333,12.5190408,<0.000,486.6866667,15.69333169,<0.000,286.6766667,19.35310197,<0.000,1310.076667,5.918329346,<0.000,3158.126667,1.319802036,0.050755172,3202.603333,9.293856283,<0.000,11.11,62.48025222,0.073920543,482.2433333,4.390197419,<0.000,198.8966667,4.216065964,<0.000,296.6766667,4.052135331
