Sample,,,,,,,Metal_A  [ He ] ,,,Metal_B  [ He ] ,,,Metal_C  [ He ] ,,,Metal_D  [ He ] ,,,Metal_E  [ He ] ,,,Metal_F [ He ] ,,,Metal_G  [ He ] ,,,Metal_H [ He ] ,,,Metal_I  [ He ] ,,,Metal_J  [ He ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD,Conc. [ ppb ],CPS,CPS RSD
,FALSE,0.d,2021/11/4 11:56,CalStd,1,0,0,1332.306667,3.646884553,0,7440.636667,3.263240205,0,315.5666667,11.39364621,0,4512.916667,9.375720511,0,1207.853333,8.824747568,0,82.22333333,25.74869385,0,16.66666667,20.0100075,0,34.44333333,14.78403606,0,365.57,7.370889895,0,613.36,8.006047795
,FALSE,1.d,2021/11/4 11:59,CalStd,2,1,1.406054792,2631.366667,8.807171398,1.016432052,67332.22667,0.389027184,1.191324328,18829.39333,1.464028043,1.060966394,47291.57667,1.595887051,2.066202824,17030.87,1.862857192,0.51161054,25582.19,2.98465059,1.073045943,9323.906667,2.056734971,0.570047657,2902.04,2.251911978,1.074969944,61791.01333,1.894838075,1.113587073,45058.3,2.095568037
,FALSE,2.5.d,2021/11/4 12:03,CalStd,3,2.5,4.343610275,5345.386667,5.316728182,2.620749469,161863.9967,0.669506519,2.723153493,42634.85,1.275062024,2.630798511,110587.94,1.972200002,3.477462395,27838.32,1.754906785,1.694676482,84549.19667,2.343945355,2.662821608,23113.08667,1.427287691,2.082525106,10510.48333,1.56327654,2.683939218,153730.0033,0.48372969,2.677877815,107491.5033,0.08509596
,FALSE,5.d,2021/11/4 12:06,CalStd,4,5,5.653540387,6555.636667,9.451448391,5.11599076,308891.9933,1.517648648,5.097923616,79540.06667,0.904498229,5.10968079,210537.63,0.526052959,5.802548596,45643.87,3.206054771,3.999670695,199435.9533,3.852611154,5.094476012,44204.44,0.548051296,4.67739131,23563.83,1.363461793,5.157904706,295096.2133,1.943219147,5.160626532,206581.75,2.333406358
,FALSE,10.d,2021/11/4 12:09,CalStd,5,7.5,9.975777595,10548.97,2.102831678,7.665015758,459089.1067,0.320389285,7.609375366,118569.39,2.101464317,7.731619532,316255.4233,1.188485873,8.379562498,65378.68667,0.5269272,6.68779449,333418.86,2.384318371,7.737409446,67128.35667,0.749326595,7.135558698,35929.52,1.38787608,7.598274964,434542.74,0.2745311,7.722203556,308818.1533,1.419027245
,FALSE,15.d,2021/11/4 12:12,CalStd,6,10,33.61802908,32392.14667,9.065069435,10.30722548,614776.9767,0.735106265,10.25467444,159678.7733,1.024404695,10.61263646,432419.37,0.903429247,11.88582565,92229.71,0.607270645,9.357058625,466461.7533,2.169489356,10.31913345,89521.36333,0.563761176,9.508299016,47865.47333,1.977559241,10.25066638,586104.4833,0.706154754,11.33862002,453154.79,0.755084701
,FALSE,20.d,2021/11/4 12:15,CalStd,7,20,20.19641462,19991.86,2.462458468,20.72887926,1228855.817,0.444680729,20.31475271,316017.85,1.467977923,20.5669749,833782.94,0.961103102,20.04566156,154717.8733,0.358122268,19.98871719,996370.5767,2.559285654,20.37018989,176700.85,0.659791262,20.53685013,103344.0567,0.767669622,20.66244788,1181049.763,2.170344201,20.22152346,807684.8667,1.368850112
,FALSE,30.d,2021/11/4 12:18,CalStd,8,30,29.69004268,28763.06333,1.190402182,29.98925147,1774508.047,2.010291304,29.82197835,463765.2967,0.850255369,30.40179372,1230327.423,0.917666035,29.91920478,230329.6367,1.116130005,29.5616827,1473511.453,2.418209177,30.16564193,261663.31,0.51976318,0.423463046,2164.653333,2.090937336,30.33384974,1733688.607,1.434715078,30.52466203,1218898.67,1.723524795
,FALSE,40.d,2021/11/4 12:21,CalStd,9,40,39.58242058,37902.67333,1.387411788,40.40524649,2388253.453,2.657177619,39.90351769,620437.89,0.321794949,39.13328355,1582385.167,0.385044672,39.55784385,304142.5,0.877488575,40.12231077,1999879.937,4.390558693,39.83694958,345548.9833,1.103157125,0.253364306,1308.98,3.814320322,39.63720385,2265296.633,3.484619043,39.27170148,1568006.21,1.536625995
,FALSE,50.d,2021/11/4 12:25,CalStd,10,50,49.90444979,47439.24,3.001844815,49.28653757,2911568.95,1.351821971,49.96598005,776814.0167,0.79745198,50.04950942,2021532.487,0.897950319,49.72438589,381998.0533,0.326160496,50.57014088,2520626.283,2.424130024,49.76449151,431657.1467,1.466919781,0.167212981,875.6,2.701532066,49.73358657,2842219.54,2.103266299,49.85094939,1990239.953,2.14437218
,FALSE,blk1.d,2021/11/4 12:27,Sample,,wash1,0.208066294,1524.54,3.289361646,<0.000,1756.8,7.54064105,0.008079512,441.1266667,3.053449904,<0.000,1905.7,2.928862754,0.023651466,1388.976667,3.258545743,0.368168534,18432.67667,2.641083757,0.001665578,31.11333333,89.86189631,0.033354201,202.23,12.8032499,0.003539165,567.8033333,15.42569071,<0.000,594.47,8.943614078
