ID,Area,DW,Year,ID_num,Tissue,Gender,dta_km,dtfl_km,Longitude,Latitude,Month_of_Capture,Mantle_length_mm,Wet_Weight_g,Maturity_level,Adipic_acid,Caprolactam,Chlorpyrifos,Ibuprofen
26_01_muscle,26,101,2019,01,Muscle,0,590,148,059°36'W,49°55'S,6,289.1,525.56,4,3.138,0.026,0,0.445
26_02_muscle,26,107.3,2019,02,Muscle,0,590,148,059°36'W,49°55'S,6,276.4,553.24,3,10.124,0.048,0,1.536
26_03_muscle,26,108.5,2019,03,Muscle,0,590,148,059°36'W,49°55'S,6,249,323.08,3,4.204,0.046,0,0.311
26_04_muscle,26,100.3,2019,04,Muscle,0,590,148,059°36'W,49°55'S,6,255.7,341.07,4,0.728,0.032,0,0.656
26_05_muscle,26,102.5,2019,05,Muscle,0,590,148,059°36'W,49°55'S,6,269.9,392.15,4,3.674,0.045,0,0.865
26_06_muscle,26,109.1,2019,06,Muscle,0,590,148,059°36'W,49°55'S,6,266.4,413.92,4,3.375,0.078,0,0.773
26_07_muscle,26,101.7,2019,07,Muscle,0,590,148,059°36'W,49°55'S,6,246.8,320.41,3,4.866,0.076,0,0.282
26_08_muscle,26,102.1,2019,08,Muscle,0,590,148,059°36'W,49°55'S,6,254,352.35,3,1.822,0.038,0,0.409
26_09_muscle,26,106.7,2019,09,Muscle,0,590,148,059°36'W,49°55'S,6,252.1,346.71,3,8.695,0.08,0,0.383
26_10_muscle,26,104.9,2019,10,Muscle,0,590,148,059°36'W,49°55'S,6,281,514.47,3,1.253,0.074,0,0.725
26_11_muscle,26,105.9,2019,11,Muscle,0,590,148,059°36'W,49°55'S,6,284.3,537.33,4,0,0.025,0,0.668
26_12_muscle,26,100.3,2019,12,Muscle,0,590,148,059°36'W,49°55'S,6,268.8,435.05,3,1.013,0.096,0,0.414
26_13_muscle,26,103,2019,13,Muscle,0,590,148,059°36'W,49°55'S,6,273.7,434.67,4,0.283,0.04,0,0.626
26_14_muscle,26,108.5,2019,14,Muscle,0,590,148,059°36'W,49°55'S,6,275,485.43,5,0.852,0.069,0,0.468
26_15_muscle,26,103.8,2019,15,Muscle,0,590,148,059°36'W,49°55'S,6,242.7,342.63,5,7.865,0.312,0,0.501
28_01_muscle,28,101.5,2019,01,Muscle,0,536,192,060°08'W,49°27'S,5,268.7,428.87,3,9.72,0.047,0,0.523
28_02_muscle,28,105.8,2019,02,Muscle,0,536,192,060°08'W,49°27'S,5,258.8,348.11,3,2.999,0.145,0,0.862
28_03_muscle,28,108.3,2019,03,Muscle,0,536,192,060°08'W,49°27'S,5,257.5,386.02,5,2.547,0.176,0,0.773
28_04_muscle,28,108.1,2019,04,Muscle,0,536,192,060°08'W,49°27'S,5,238.7,295.47,3,1.443,0.049,0,0.882
28_05_muscle,28,103.7,2019,05,Muscle,0,536,192,060°08'W,49°27'S,5,254.8,341.83,3,2.435,0.071,0,0.52
28_06_muscle,28,104.1,2019,06,Muscle,0,536,192,060°08'W,49°27'S,5,260.5,379.29,3,0.424,0.122,0,0.58
28_07_muscle,28,102,2019,07,Muscle,0,536,192,060°08'W,49°27'S,5,271,462.42,4,0.084,0.024,0,0.752
28_08_muscle,28,107.3,2019,08,Muscle,0,536,192,060°08'W,49°27'S,5,246.2,310.29,3,0.365,0.035,0,0.38
28_09_muscle,28,104.5,2019,09,Muscle,0,536,192,060°08'W,49°27'S,5,261.4,256.25,3,0.49,0.072,0,0.38
28_10_muscle,28,108.1,2019,10,Muscle,0,536,192,060°08'W,49°27'S,5,243.5,316.46,3,2.977,0.103,0,0.363
28_11_muscle,28,105.5,2019,11,Muscle,0,536,192,060°08'W,49°27'S,5,249.8,360.31,4,0.344,0.099,0,0.58
28_12_muscle,28,103.1,2019,12,Muscle,0,536,192,060°08'W,49°27'S,5,231.4,341.05,4,0,0.149,0,0.621
28_13_muscle,28,104.6,2019,13,Muscle,0,536,192,060°08'W,49°27'S,5,267.7,366.53,3,1.046,0.17,0,0.373
28_14_muscle,28,104.3,2019,14,Muscle,0,536,192,060°08'W,49°27'S,5,265.6,423.27,3,0,0.134,0,0.598
28_15_muscle,28,106.9,2019,15,Muscle,0,536,192,060°08'W,49°27'S,5,287.4,482.5,4,0,0.153,0,0.836
26_01_stomach,26,102.7,2019,01,Stomach,0,590,148,059°36'W,49°55'S,6,289.1,525.56,4,0,0.109,0,3.526
26_02_stomach,26,102.4,2019,02,Stomach,0,590,148,059°36'W,49°55'S,6,276.4,553.24,3,0,0.104,0,0.674
26_03_stomach,26,104.8,2019,03,Stomach,0,590,148,059°36'W,49°55'S,6,249,323.08,3,0,0.138,0,0.533
26_04_stomach,26,104,2019,04,Stomach,0,590,148,059°36'W,49°55'S,6,255.7,341.07,4,0,0.118,0,0.448
26_05_stomach,26,109,2019,05,Stomach,0,590,148,059°36'W,49°55'S,6,269.9,392.15,4,0,0.112,0,1.175
26_06_stomach,26,108.1,2019,06,Stomach,0,590,148,059°36'W,49°55'S,6,266.4,413.92,4,0,0.145,0,1.394
26_07_stomach,26,101.1,2019,07,Stomach,0,590,148,059°36'W,49°55'S,6,246.8,320.41,3,0,0.202,0,1.119
26_08_stomach,26,100.5,2019,08,Stomach,0,590,148,059°36'W,49°55'S,6,254,352.35,3,0,0.17,0,0.864
26_09_stomach,26,102.8,2019,09,Stomach,0,590,148,059°36'W,49°55'S,6,252.1,346.71,3,0,0.161,0,0.649
26_10_stomach,26,102,2019,10,Stomach,0,590,148,059°36'W,49°55'S,6,281,514.47,3,0,0.131,0,1.69
26_11_stomach,26,104.2,2019,11,Stomach,0,590,148,059°36'W,49°55'S,6,284.3,537.33,4,1.493,0.201,0,14.428
26_12_stomach,26,105.5,2019,12,Stomach,0,590,148,059°36'W,49°55'S,6,268.8,435.05,3,0,0.106,0,2.294
26_13_stomach,26,103.7,2019,13,Stomach,0,590,148,059°36'W,49°55'S,6,273.7,434.67,4,1.528,0.138,0,8.197
26_14_stomach,26,107.6,2019,14,Stomach,0,590,148,059°36'W,49°55'S,6,275,485.43,5,1.394,0.19,0.029,9.284
26_15_stomach,26,107.1,2019,15,Stomach,0,590,148,059°36'W,49°55'S,6,242.7,342.63,5,19.225,0.208,0,13.375
28_01_stomach,28,102.1,2019,01,Stomach,0,536,192,060°08'W,49°27'S,5,268.7,428.87,3,12.118,0.189,0,11.11
28_02_stomach,28,103.4,2019,02,Stomach,0,536,192,060°08'W,49°27'S,5,258.8,348.11,3,12.147,0.236,0,12.134
28_03_stomach,28,104.5,2019,03,Stomach,0,536,192,060°08'W,49°27'S,5,257.5,386.02,5,4.988,0.208,0,14.23
28_04_stomach,28,104.8,2019,04,Stomach,0,536,192,060°08'W,49°27'S,5,238.7,295.47,3,4.251,0.208,0,21.974
28_05_stomach,28,100.8,2019,05,Stomach,0,536,192,060°08'W,49°27'S,5,254.8,341.83,3,2.017,0.141,0,2.093
28_06_stomach,28,100.6,2019,06,Stomach,0,536,192,060°08'W,49°27'S,5,260.5,379.29,3,0,0.093,0,1.013
28_07_stomach,28,105.7,2019,07,Stomach,0,536,192,060°08'W,49°27'S,5,271,462.42,4,0,0.131,0.045,0.889
28_08_stomach,28,105.2,2019,08,Stomach,0,536,192,060°08'W,49°27'S,5,246.2,310.29,3,0,0.079,0,1.691
28_09_stomach,28,100.9,2019,09,Stomach,0,536,192,060°08'W,49°27'S,5,261.4,256.25,3,0,0.134,2.5 BLOQ,1.467
28_10_stomach,28,107.1,2019,10,Stomach,0,536,192,060°08'W,49°27'S,5,243.5,316.46,3,0,0.172,0,2.314
28_11_stomach,28,104.6,2019,11,Stomach,0,536,192,060°08'W,49°27'S,5,249.8,360.31,4,0.826,0.201,0,1.216
28_12_stomach,28,102.5,2019,12,Stomach,0,536,192,060°08'W,49°27'S,5,231.4,341.05,4,0,0.158,0,1.681
28_13_stomach,28,100.9,2019,13,Stomach,0,536,192,060°08'W,49°27'S,5,267.7,366.53,3,11.171,0.242,0,2.334
28_14_stomach,28,104.1,2019,14,Stomach,0,536,192,060°08'W,49°27'S,5,265.6,423.27,3,0,0.158,0,1.857
28_15_stomach,28,100.5,2019,15,Stomach,0,536,192,060°08'W,49°27'S,5,287.4,482.5,4,0,0.152,0,1.227
26_01_liver,26,104.5,2019,01,Liver,0,590,148,059°36'W,49°55'S,6,289.1,525.56,4,0,0.196,0,4.179
26_02_liver,26,102.8,2019,02,Liver,0,590,148,059°36'W,49°55'S,6,276.4,553.24,3,0,0.2,0,7.568
26_03_liver,26,101.7,2019,03,Liver,0,590,148,059°36'W,49°55'S,6,249,323.08,3,5.842,0.59,0,16.463
26_04_liver,26,107.1,2019,04,Liver,0,590,148,059°36'W,49°55'S,6,255.7,341.07,4,0,0.196,0,1.789
26_05_liver,26,108.8,2019,05,Liver,0,590,148,059°36'W,49°55'S,6,269.9,392.15,4,0,0.272,0,8.365
26_06_liver,26,103.8,2019,06,Liver,0,590,148,059°36'W,49°55'S,6,266.4,413.92,4,3.617,0.422,0,16.291
26_07_liver,26,107.4,2019,07,Liver,0,590,148,059°36'W,49°55'S,6,246.8,320.41,3,3.971,0.44,0,25.261
26_08_liver,26,106.1,2019,08,Liver,0,590,148,059°36'W,49°55'S,6,254,352.35,3,0,0.321,0,6.481
26_09_liver,26,105.8,2019,09,Liver,0,590,148,059°36'W,49°55'S,6,252.1,346.71,3,0,0.24,0,3.915
26_10_liver,26,101.9,2019,10,Liver,0,590,148,059°36'W,49°55'S,6,281,514.47,3,4.73,1.153,0,18.726
26_11_liver,26,107.4,2019,11,Liver,0,590,148,059°36'W,49°55'S,6,284.3,537.33,4,4.034,0.239,0,29.467
26_12_liver,26,106.1,2019,12,Liver,0,590,148,059°36'W,49°55'S,6,268.8,435.05,3,0,0.404,0,18.907
26_13_liver,26,108.5,2019,13,Liver,0,590,148,059°36'W,49°55'S,6,273.7,434.67,4,0,0.221,0,8.154
26_14_liver,26,107.9,2019,14,Liver,0,590,148,059°36'W,49°55'S,6,275,485.43,5,395.648,1.144,0,7.536
26_15_liver,26,108.3,2019,15,Liver,0,590,148,059°36'W,49°55'S,6,242.7,342.63,5,28.689,0.865,0,26.404
28_01_liver,28,104.7,2019,01,Liver,0,536,192,060°08'W,49°27'S,5,268.7,428.87,3,88.792,0.443,0,14.887
28_02_liver,28,105.9,2019,02,Liver,0,536,192,060°08'W,49°27'S,5,258.8,348.11,3,27.416,0.9,0,15.155
28_03_liver,28,106,2019,03,Liver,0,536,192,060°08'W,49°27'S,5,257.5,386.02,5,5.914,0.42,0,6.591
28_04_liver,28,107.3,2019,04,Liver,0,536,192,060°08'W,49°27'S,5,238.7,295.47,3,0,0.401,0,11.031
28_05_liver,28,102.3,2019,05,Liver,0,536,192,060°08'W,49°27'S,5,254.8,341.83,3,0,0.374,0,27.737
28_06_liver,28,102.7,2019,06,Liver,0,536,192,060°08'W,49°27'S,5,260.5,379.29,3,0,0.413,0.392,21.293
28_07_liver,28,105.3,2019,07,Liver,0,536,192,060°08'W,49°27'S,5,271,462.42,4,153.579,1.131,0,29.94
28_08_liver,28,104.1,2019,08,Liver,0,536,192,060°08'W,49°27'S,5,246.2,310.29,3,0,0.25,0,1.93
28_09_liver,28,102,2019,09,Liver,0,536,192,060°08'W,49°27'S,5,261.4,256.25,3,0,0.192,0,9.049
28_10_liver,28,104.4,2019,10,Liver,0,536,192,060°08'W,49°27'S,5,243.5,316.46,3,0,0.248,0,5.63
