sample_id,area,gender,catch_month,catch_day,catch_year,longitude,latitude,water_temperature,catch_length_mm,catch_weight_g,maturity_level,geom
26_01,26,female,6,18,2019,-59.6,-49.91666667,12.8,289.1,525.56,4,
26_02,26,female,6,18,2019,-59.6,-49.91666667,12.8,276.4,553.24,3,
26_03,26,female,6,23,2019,-59.6,-49.91666667,11.2,249,323.08,3,
26_04,26,female,6,23,2019,-59.6,-49.91666667,11.2,255.7,341.07,4,
26_05,26,female,6,9,2019,-59.6,-49.91666667,10.1,269.9,392.15,4,
26_06,26,female,6,9,2019,-59.6,-49.91666667,10.1,266.4,413.92,4,
26_07,26,female,6,9,2019,-59.6,-49.91666667,10.1,246.8,320.41,3,
26_08,26,female,6,9,2019,-59.6,-49.91666667,10.1,254,352.35,3,
26_09,26,female,6,9,2019,-59.6,-49.91666667,10.1,252.1,346.71,3,
26_10,26,female,6,9,2019,-59.6,-49.91666667,10.1,281,514.47,3,
26_11,26,female,6,9,2019,-59.6,-49.91666667,10.1,284.3,537.33,4,
26_12,26,female,6,9,2019,-59.6,-49.91666667,10.1,268.8,435.05,3,
26_13,26,female,6,9,2019,-59.6,-49.91666667,10.1,273.7,434.67,4,
26_14,26,female,6,9,2019,-59.6,-49.91666667,10.1,275,485.43,5,
26_15,26,female,6,9,2019,-59.6,-49.91666667,10.1,242.7,342.63,5,
28_01,28,female,5,9,2019,-60.13333333,-49.45,10.1,268.7,428.87,3,
28_02,28,female,5,9,2019,-60.13333333,-49.45,10.1,258.8,348.11,3,
28_03,28,female,5,9,2019,-60.13333333,-49.45,10.1,257.5,386.02,5,
28_04,28,female,5,9,2019,-60.13333333,-49.45,10.1,238.7,295.47,3,
28_05,28,female,5,9,2019,-60.13333333,-49.45,10.1,254.8,341.83,3,
28_06,28,female,5,9,2019,-60.13333333,-49.45,10.1,260.5,379.29,3,
28_07,28,female,5,9,2019,-60.13333333,-49.45,10.1,271,462.42,4,
28_08,28,female,5,9,2019,-60.13333333,-49.45,10.1,246.2,310.29,3,
28_09,28,female,5,9,2019,-60.13333333,-49.45,10.1,261.4,256.25,3,
28_10,28,female,5,9,2019,-60.13333333,-49.45,10.1,243.5,316.46,3,
28_11,28,female,5,9,2019,-60.13333333,-49.45,10.1,249.8,360.31,4,
28_12,28,female,5,9,2019,-60.13333333,-49.45,10.1,231.4,341.05,4,
28_13,28,female,5,9,2019,-60.13333333,-49.45,10.1,267.7,366.53,3,
28_14,28,female,5,9,2019,-60.13333333,-49.45,10.1,265.6,423.27,3,
28_15,28,female,5,9,2019,-60.13333333,-49.45,10.1,287.4,482.5,4,
60_01,60,female,4,,2020,-59.51666667,-50.08333333,,227.3,233.03,3,
60_02,60,female,4,,2020,-59.51666667,-50.08333333,,239.3,336.23,3,
60_03,60,male,4,,2020,-59.51666667,-50.08333333,,240.6,344.68,5,
60_04,60,female,4,,2020,-59.51666667,-50.08333333,,240.6,310.74,3,
60_05,60,male,4,,2020,-59.51666667,-50.08333333,,235.9,301.78,5,
60_06,60,female,4,,2020,-59.51666667,-50.08333333,,241.8,292.32,2,
60_07,60,male,4,,2020,-59.51666667,-50.08333333,,237.3,346.48,5,
60_08,60,male,4,,2020,-59.51666667,-50.08333333,,223.4,259.5,5,
60_09,60,female,4,,2020,-59.51666667,-50.08333333,,219,226.89,2,
60_10,60,male,4,,2020,-59.51666667,-50.08333333,,215.3,268.83,5,
60_11,60,female,4,,2020,-59.51666667,-50.08333333,,235.1,277.38,2,
60_12,60,male,4,,2020,-59.51666667,-50.08333333,,226.7,271.44,5,
60_13,60,male,4,,2020,-59.51666667,-50.08333333,,236.5,293.22,5,
60_14,60,male,4,,2020,-59.51666667,-50.08333333,,235.3,308.75,5,
60_15,60,female,4,,2020,-59.51666667,-50.08333333,,245.7,346.14,3,
65_01,65,male,3,,2020,-59.86666667,-49.7,,229.1,286.8,5,
65_02,65,female,3,,2020,-59.86666667,-49.7,,235,259.86,3,
65_03,65,female,3,,2020,-59.86666667,-49.7,,248.1,327.45,4,
65_04,65,female,3,,2020,-59.86666667,-49.7,,248.6,341.04,3,
65_05,65,male,3,,2020,-59.86666667,-49.7,,253.6,381.95,5,
65_06,65,male,3,,2020,-59.86666667,-49.7,,222.4,263.52,5,
65_07,65,male,3,,2020,-59.86666667,-49.7,,221.9,253.33,5,
65_08,65,female,3,,2020,-59.86666667,-49.7,,223.1,255.04,3,
65_09,65,female,3,,2020,-59.86666667,-49.7,,234.1,285.25,3,
65_10,65,male,3,,2020,-59.86666667,-49.7,,236.5,345.59,5,
65_11,65,female,3,,2020,-59.86666667,-49.7,,236.1,257.62,3,
65_12,65,female,3,,2020,-59.86666667,-49.7,,235,272.61,3,
65_13,65,female,3,,2020,-59.86666667,-49.7,,241.4,320.13,4,
65_14,65,male,3,,2020,-59.86666667,-49.7,,237.4,316.7,5,
65_15,65,male,3,,2020,-59.86666667,-49.7,,231.8,302.9,5,
47_01,47,male,6,,2021,-59.98333333,-49.55,,288,646.2,5,
47_02,47,male,6,,2021,-59.98333333,-49.55,,254,444.5,5,
47_03,47,male,6,,2021,-59.98333333,-49.55,,246,453.3,5,
47_04,47,female,6,,2021,-59.98333333,-49.55,,310,875.8,3,
47_05,47,male,6,,2021,-59.98333333,-49.55,,267,572.8,5,
47_06,47,female,6,,2021,-59.98333333,-49.55,,269,478.6,3,
47_07,47,male,6,,2021,-59.98333333,-49.55,,250,439.4,5,
47_08,47,female,6,,2021,-59.98333333,-49.55,,273,574.7,4,
47_09,47,female,6,,2021,-59.98333333,-49.55,,273,671.6,4,
47_10,47,female,6,,2021,-59.98333333,-49.55,,276,512.9,3,
47_11,47,female,6,,2021,-59.98333333,-49.55,,310,754.1,4,
47_12,47,male,6,,2021,-59.98333333,-49.55,,241,404,4,
47_13,47,female,6,,2021,-59.98333333,-49.55,,257,462.9,3,
47_14,47,male,6,,2021,-59.98333333,-49.55,,257,445.3,4,
47_15,47,male,6,,2021,-59.98333333,-49.55,,274.9,376.8,3,
49_01,49,male,5,,2021,-60.85,-46.91666667,,242.3,378.4,3,
49_02,49,female,5,,2021,-60.85,-46.91666667,,261.54,463.9,3,
49_03,49,female,5,,2021,-60.85,-46.91666667,,308.12,807.5,3,
49_04,49,male,5,,2021,-60.85,-46.91666667,,289,529.7,5,
49_05,49,female,5,,2021,-60.85,-46.91666667,,260,468,3,
49_06,49,male,5,,2021,-60.85,-46.91666667,,218,229.1,5,
49_07,49,male,5,,2021,-60.85,-46.91666667,,183,108.6,1,
49_08,49,female,5,,2021,-60.85,-46.91666667,,206,158.3,2,
49_09,49,female,5,,2021,-60.85,-46.91666667,,219,186.2,2,
49_10,49,male,5,,2021,-60.85,-46.91666667,,197,140.3,2,
49_11,49,female,5,,2021,-60.85,-46.91666667,,186,107.6,1,
49_12,49,female,5,,2021,-60.85,-46.91666667,,192,151.7,1,
49_13,49,male,5,,2021,-60.85,-46.91666667,,197,170.3,3,
49_14,49,male,5,,2021,-60.85,-46.91666667,,181,119.6,2,
49_15,49,male,5,,2021,-60.85,-46.91666667,,194,148.5,3,
