Year,Month,SSH
2000,01,0.0201
2000,02,0.0178
2000,03,0.015
2000,04,0.0097
2000,05,0.0109
2000,06,0.0105
2000,07,0.0124
2000,08,0.0159
2000,09,0.0231
2000,10,0.0276
2000,11,0.0266
2000,12,0.0273
2001,01,0.0255
2001,02,0.0215
2001,03,0.0188
2001,04,0.0168
2001,05,0.0164
2001,06,0.0172
2001,07,0.0194
2001,08,0.0248
2001,09,0.0294
2001,10,0.0332
2001,11,0.0326
2001,12,0.0296
2002,01,0.0274
2002,02,0.0238
2002,03,0.0212
2002,04,0.0188
2002,05,0.0169
2002,06,0.0184
2002,07,0.0216
2002,08,0.0253
2002,09,0.0331
2002,10,0.0364
2002,11,0.0342
2002,12,0.0335
2003,01,0.0324
2003,02,0.0293
2003,03,0.0273
2003,04,0.0251
2003,05,0.0227
2003,06,0.0235
2003,07,0.025
2003,08,0.0307
2003,09,0.0369
2003,10,0.0396
2003,11,0.0387
2003,12,0.0356
2004,01,0.0332
2004,02,0.03
2004,03,0.0293
2004,04,0.0239
2004,05,0.022
2004,06,0.0238
2004,07,0.0266
2004,08,0.031
2004,09,0.0366
2004,10,0.0402
2004,11,0.0372
2004,12,0.0372
2005,01,0.036
2005,02,0.0322
2005,03,0.0315
2005,04,0.0282
2005,05,0.0282
2005,06,0.0279
2005,07,0.0305
2005,08,0.034
2005,09,0.0415
2005,10,0.0463
2005,11,0.0442
2005,12,0.0427
2006,01,0.0388
2006,02,0.0347
2006,03,0.0319
2006,04,0.0303
2006,05,0.029
2006,06,0.0308
2006,07,0.0331
2006,08,0.0355
2006,09,0.0441
2006,10,0.0461
2006,11,0.045
2006,12,0.0418
2007,01,0.0392
2007,02,0.0345
2007,03,0.0342
2007,04,0.0331
2007,05,0.0308
2007,06,0.0291
2007,07,0.0302
2007,08,0.034
2007,09,0.0402
2007,10,0.0457
2007,11,0.0443
2007,12,0.0428
2008,01,0.0396
2008,02,0.0369
2008,03,0.0339
2008,04,0.0327
2008,05,0.0341
2008,06,0.0345
2008,07,0.0335
2008,08,0.0361
2008,09,0.0423
2008,10,0.0462
2008,11,0.0468
2008,12,0.0457
2009,01,0.0417
2009,02,0.0381
2009,03,0.0373
2009,04,0.035
2009,05,0.0356
2009,06,0.036
2009,07,0.0363
2009,08,0.0425
2009,09,0.0506
2009,10,0.0541
2009,11,0.053
2009,12,0.0513
2010,01,0.0473
2010,02,0.0427
2010,03,0.0412
2010,04,0.0386
2010,05,0.0378
2010,06,0.0384
2010,07,0.0422
2010,08,0.0443
2010,09,0.0496
2010,10,0.0519
2010,11,0.0535
2010,12,0.0487
2011,01,0.0465
2011,02,0.0417
2011,03,0.0375
2011,04,0.0352
2011,05,0.0357
2011,06,0.0374
2011,07,0.0408
2011,08,0.0452
2011,09,0.0523
2011,10,0.0559
2011,11,0.0563
2011,12,0.0532
2012,01,0.0526
2012,02,0.0502
2012,03,0.0468
2012,04,0.0444
2012,05,0.0453
2012,06,0.0477
2012,07,0.0519
2012,08,0.0573
2012,09,0.0598
2012,10,0.0668
2012,11,0.0632
2012,12,0.0614
2013,01,0.0585
2013,02,0.056
2013,03,0.0531
2013,04,0.0506
2013,05,0.0489
2013,06,0.0475
2013,07,0.0502
2013,08,0.0532
2013,09,0.0569
2013,10,0.062
2013,11,0.0633
2013,12,0.0612
2014,01,0.0582
2014,02,0.0553
2014,03,0.0532
2014,04,0.0507
2014,05,0.0493
2014,06,0.0496
2014,07,0.0547
2014,08,0.0567
2014,09,0.0637
2014,10,0.0684
2014,11,0.0686
2014,12,0.0657
2015,01,0.064
2015,02,0.0608
2015,03,0.0608
2015,04,0.059
2015,05,0.0594
2015,06,0.0591
2015,07,0.063
2015,08,0.0682
2015,09,0.0768
2015,10,0.0833
2015,11,0.0792
2015,12,0.0756
2016,01,0.0719
2016,02,0.0705
2016,03,0.0666
2016,04,0.0653
2016,05,0.063
2016,06,0.0646
2016,07,0.0655
2016,08,0.0705
2016,09,0.0783
2016,10,0.0838
2016,11,0.0822
2016,12,0.0784
2017,01,0.0742
2017,02,0.0698
2017,03,0.0667
2017,04,0.0652
2017,05,0.0635
2017,06,0.0646
2017,07,0.0692
2017,08,0.0735
2017,09,0.0804
2017,10,0.0853
2017,11,0.083
2017,12,0.0802
2018,01,0.0771
2018,03,0.0699
2018,04,0.069
2018,05,0.0675
2018,06,0.0679
2018,07,0.0726
2018,08,0.0764
2018,09,0.0835
2018,10,0.0899
2018,11,0.0868
2018,12,0.0818
2019,01,0.0786
2019,02,0.0782
2019,03,0.075
2019,04,0.0737
2019,05,0.0723
2019,06,0.0733
2019,07,0.0794
2019,08,0.0822
2019,09,0.089
2019,10,0.0923
2019,11,0.0904
2019,12,0.0869
2020,01,0.0829
2020,02,0.0803
2020,03,0.0765
2020,04,0.0759
2020,05,0.0753
2020,06,0.0768
2020,07,0.0791
2020,08,0.0836
2020,09,0.0892
2020,10,0.0913
2020,11,0.0955
2020,12,0.0906
2021,01,0.0874
2021,02,0.0842
2021,03,0.0816
2021,04,0.0804
2021,05,0.0787
2021,06,0.0807
2021,07,0.0835
2021,08,0.0881
2021,09,0.0945
2021,10,0.0991
2021,11,0.0979
2021,12,0.0922
