Year,Month,TotalCatch,DaysFished,Monthly_CPUE
2000,1,25889512.6573583,2177,11892.288772328113
2000,2,63051279.5795451,2737,23036.638501843296
2000,3,71758351.9309769,2944,24374.440193945957
2000,4,35327775.29509001,2822,12518.701380258686
2000,5,24373900.27008383,2739,8898.831789004684
2000,6,6709809.39181498,1094,6133.2809797211885
2001,1,12983154.03969189,2244,5785.719269024907
2001,2,25272686.5431875,2755,9173.388944895643
2001,3,42871204.80002481,3134,13679.388895987495
2001,4,23830737.290140245,2269,10502.748915883758
2001,5,11951814.2164702,911,13119.44480402876
2001,6,1421281.93942098,158,8995.455312791013
2002,1,26849473.4310753,2217,12110.72324360636
2002,2,22018236.67560651,2739,8038.786665062618
2002,3,16997360.306367166,3050,5572.9050184810385
2002,4,13773737.456410116,2728,5049.023994285233
2002,5,8149782.978979255,1488,5477.004690174231
2002,6,191354.10873868,59,3243.289978621695
2003,1,14424081.20341895,2168,6653.173986816859
2003,2,21521431.513624158,2588,8315.854526129891
2003,3,57831452.42186738,2785,20765.33300605651
2003,4,23088375.26682659,2532,9118.631621969427
2003,5,3000027.565543352,906,3311.2887036902343
2004,1,3193700.09814492,886,3604.6276502764335
2004,2,1688526.347904128,1156,1460.6629307129135
2004,3,3394484.32293691,2007,1691.3225326043398
2004,4,1254874.367291313,1161,1080.8564748417855
2004,5,9651.31474705,10,965.1314747050001
2004,6,114.10078454,4,28.525196135
2005,1,3173151.42682858,783,4052.5561006750704
2005,2,5608389.128019751,2068,2711.9870058122588
2005,3,17791068.23311018,2605,6829.584734399301
2005,4,7342465.048981621,1659,4425.8378836537795
2005,5,960317.118930212,300,3201.0570631007067
2005,6,153292.89286676,77,1990.8167904774025
2006,1,11776783.08852154,1275,9236.692618448267
2006,2,18986491.8486239,1926,9857.991614031102
2006,3,43963131.44730893,2030,21656.71499867435
2006,4,29062657.549124554,1839,15803.511445962236
2006,5,12220527.779229676,1772,6896.460372025776
2006,6,1749423.47709698,453,3861.861980346534
2007,1,8425872.7279304,904,9320.655672489382
2007,2,22954273.61954792,2224,10321.16619583989
2007,3,76690444.4181388,2366,32413.543710117836
2007,4,70525632.2605914,2025,34827.47272127971
2007,5,60758456.38431884,1750,34719.11793389648
2007,6,22417926.91580208,722,31049.760271194016
2008,1,8624683.7119385,566,15237.957088230565
2008,4,60153379.32244752,1445,41628.63620930624
2008,5,58799341.7233877,1605,36635.10387750013
2008,6,9249907.87289347,656,14100.469318435167
2009,1,6324490.307606,550,11499.073286556364
2009,2,17702817.0650957,1323,13380.814108160015
2009,3,27718332.00502894,2155,12862.3350371364
2009,4,2575660.292145913,1567,1643.6887633349795
2009,6,368.19346483,7,52.599066404285715
2010,1,7578985.893964,888,8534.894024734234
2010,2,10388785.64535343,1808,5746.009759598137
2010,3,8764643.6193464,2051,4273.351350242028
2010,4,1361464.63422904,766,1777.3689741893472
2011,1,650307.24776054,477,1363.3275634392871
2011,2,8404961.11881294,1543,5447.155618154854
2011,3,40581551.82731926,2298,17659.509063237274
2011,4,11655085.874134319,1719,6780.154667908271
2011,5,167957.88322884002,77,2181.271210764156
2012,1,4962630.418584,479,10360.397533578289
2012,2,15976908.17261228,1659,9630.444950338926
2012,3,31197585.14761733,2579,12096.775939363059
2012,4,19132652.30046062,2177,8788.540330941949
2012,5,3404431.343922905,622,5473.362289265121
2013,1,1193407.776900158,372,3208.085421774618
2013,2,4820288.87541498,1654,2914.322173769637
2013,3,27731540.39116901,2570,10790.482642478215
2013,4,36816068.25858567,2134,17252.14070224258
2013,5,35706891.5900452,1462,24423.31846104323
2013,6,5680.2993312,3,1893.4331104
2014,1,2175328.5984739,260,8366.648455668847
2014,2,12271438.8799516,1158,10597.097478369258
2014,3,55124125.6263374,2194,25124.943311913128
2014,4,90106548.7018416,1828,49292.422703414435
2014,5,42442355.497977,746,56893.23793294504
2015,1,766493.1931,76,10085.43675131579
2015,2,13965643.4022905,960,14547.545210719272
2015,3,79839409.0450599,2086,38273.92571671136
2015,4,100221075.5340444,1817,55157.443882247884
2015,5,52404838.6322176,1070,48976.4847030071
2015,6,34153.3942541,9,3794.821583788889
2016,1,15542.30621981,49,317.1899228532653
2016,2,2182217.621690803,668,3266.79284684252
2016,3,6870701.69791053,1890,3635.291903656365
2016,4,3017837.297895134,700,4311.196139850192
2017,1,423865.9534665,44,9633.317124238636
2017,2,9461429.65842027,1105,8562.37978137581
2017,3,32624313.8649819,2333,13983.846491633905
2017,4,23870593.76584554,2179,10954.838809474777
2017,5,3061977.6181034,554,5527.035411738989
2018,1,37158.571786883,136,273.22479255061035
2018,3,33807510.283975884,2557,13221.552711762177
2018,4,10681073.753875855,2028,5266.801653784939
2018,5,1175480.3041018,602,1952.6250898700998
2019,1,297.48807015,3,99.16269005
2019,2,9336005.706307368,1160,8048.280781299455
2019,3,21776987.161655154,2384,9134.642265794948
2019,4,1660575.751133746,716,2319.23987588512
2019,5,6634.41278502,10,663.441278502
2020,1,4753.784937629,14,339.5560669735
2020,2,10432878.09042982,605,17244.426595751767
2020,3,29632052.79854371,2303,12866.71854040109
2020,4,5860282.630633534,1761,3327.815236021314
2020,5,2282807.423283663,381,5991.620533552921
