Year,count,mean,std,min,25%,50%,75%,max
2000,10.0,12786.78589121115,6263.9304543432145,6084.518122193447,9077.216802311774,10929.971257555984,13059.73027876307,24550.43765561174
2001,10.0,9210.053389832347,3728.5190861372066,4298.794710480518,5959.392984205236,9090.527667438157,12365.671882195955,14756.813563958265
2002,6.0,6580.624056446378,3110.367116589286,3243.289978621695,5163.775844683283,5517.892963227037,7419.0036948696115,12106.22435635
2003,6.0,8381.827233580547,6676.965027153968,2177.8007692306837,4093.997754775186,7517.745479902808,8861.351440814818,20815.703064928835
2004,9.0,2687.347121736318,3960.139674856427,28.525196135,965.1314747050001,1438.341566671463,2474.358835775,12820.3089925
2005,7.0,4303.894240579911,1931.5082058518046,1990.8167904774025,2958.0070113153206,4052.5561006750704,5608.1524866867,6951.5677969028575
2006,9.0,9305.529779083854,6409.84994099168,2186.1770500416,3844.2765779171186,9263.80375325065,9942.795276289913,21733.367556317608
2007,7.0,22651.233293975976,13352.242582529787,5915.904869801695,9817.559097356843,31049.760271194016,33557.1116409823,34843.62644015786
2008,7.0,21038.350709128772,14777.607991983808,2688.6592361071853,11168.606886976377,15297.505275392794,32620.682604361973,41703.711469724716
2009,7.0,7946.176465303552,6628.121737044588,52.599066404285715,1418.5265141314258,11499.073286556364,13121.574572648207,14991.36073060495
2010,5.0,4749.856252195943,2632.8892935059644,1761.5915891012437,3257.931041155698,4262.7541132107735,5819.537243313956,8647.467274198041
2011,6.0,5601.768348714998,6550.824082022065,10.060434572750001,1553.625634873375,3785.529549896322,6412.400883208927,17931.808233745738
2012,6.0,9047.791694151778,2269.15742158476,5329.221809815026,8328.209876556593,9176.875464850633,10169.948420649294,12057.483339020288
2013,7.0,8969.72933177638,8863.573057799513,1893.4331104,2648.8268128134855,3228.3416509575127,13943.442278759027,24481.792377932128
2014,6.0,27161.54855653179,21046.65643232219,8366.648455668847,11121.558472996943,18909.942384396563,43250.55285553911,56893.23793294504
2015,6.0,28472.609641298386,21769.445732569806,3794.821583788889,11200.963866166661,26410.73546371532,46300.84495643317,55157.443882247884
2016,4.0,2882.617703300585,1764.1206533626566,317.1899228532653,2529.3921158452063,3451.0423752494426,3804.2679627048215,4311.196139850192
2017,5.0,9732.283523692424,3107.772912181686,5527.035411738989,8562.37978137581,9633.317124238636,10954.838809474777,13983.846491633905
2018,5.0,5414.181809936118,5006.918335662529,273.22479255061035,1952.6250898700998,5266.801653784939,6356.704801712765,13221.552711762177
2019,5.0,4052.9533783063043,4240.083094588865,99.16269005,663.441278502,2319.23987588512,8048.280781299455,9134.642265794948
2020,5.0,7954.027394540119,6958.4320222753095,339.5560669735,3327.815236021314,5991.620533552921,12866.71854040109,17244.426595751767
